Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1500,116163.636,117643.685,119223.044,120925.284,122761.851,124736.496,126842.906,129069.722,131400.416,133804.726,136261.398,138781.417,141357.274,143997.892,146750.404,149639.22,152670.122,155824.679,158956.605,162058.401,165227.672,168752.328,172323.519,175944.364,179597.715,183290.891,187103.716,190962.603,194864.732,198922.96,203016.316,207057.162,211138.923,215256.921,219497.292,223858.035,228452.267,233275.237,238305.71,243670.616,249229.579,255129.482,261306.793,267740.915,274361.375,281081.258,287843.681,294601.838,301515.16,308622.105,315968.13,323486.525,331305.915,339333.213,347548.387,355796.239,364114.524,372917.203,381181.663,389577.833,398123.048,406828.065,415814.666,424936.108,434118.145,443323.009,452530.538,461736.528,470928.666,480103.447,489255.442,498372.811,507441.472,516451.741,525394.066,534258.694,543034.859,551711.837,560280.161,568731.21,577057.784,585244.793,593284.823,601167.558,608883.904,616424.435,623779.391,630942.714,637907.417,644671.977,651228.27,657577.137,663697.136,669590.281,675235.568,680623.587,685748.37,690604.269,695186.753,699492.285,703517.098
947,159678.791,162120.811,164667.257,167312.103,170052.35,172886.941,175814.259,178837.893,181963.918,185179.659,188500.45,192252.234,196136.992,200124.152,204212.49,208410.941,212761.528,217235.344,221834.243,226556.837,231463.574,236423.891,241498.128,246719.306,252081.918,257595.362,263251.926,269121.342,275150.585,281550.481,288191.256,294785.598,301501.128,308327.369,315235.778,322115.522,329055.554,336131.904,343306.529,350579.192,357792.127,365489.185,373323.691,381269.536,389410.601,397793.396,406371.503,415079.198,424016.428,433118.525,442366.632,451329.672,460362.918,469565.809,478976.138,488573.442,498486.32,509003.398,519063.939,529292.435,539628.588,550077.344,560785.065,571613.911,582495.895,593407.734,604333.222,615263.151,626177.826,637062.336,647903.306,658686.854,669403.126,680048.091,690620.449,701116.981,711528.708,721845.265,732060.551,742169.456,752167.925,762043.641,771791.669,781400.326,790862.703,800173.032,809330.477,818265.587,826971.504,835440.424,843661.343,851624.262,859306.329,866703.484,873790.702,880556.548,886993.085,893092.884,898849.892,904259.184,909315.757
903,196011.057,199067.336,202256.422,205573.743,209014.346,212575.808,216256.247,220058.43,223978.778,228000.498,232133.581,236698.67,241403.047,246212.023,251125.18,256122.057,261308.402,266744.159,272305.004,277979.972,283821.559,289695.853,295648.76,301765.084,308132.005,314699.085,321466.49,328531.101,335780.696,343446.12,351396.255,359345.496,367455.147,375657.465,383870.5,392074.281,400323.945,408745.26,417292.645,425918.352,434455.748,443448.765,452539.494,461737.856,471280.709,481097.777,491037.15,500955.548,511006.395,521202.265,531568.392,541691.634,551920.837,562342.819,572973.496,583724.116,594752.633,606408.989,617656.517,629149.675,640859.299,652803.773,665140.073,677663.811,690251.653,702838.816,715396.624,727896.702,740318.336,752651.097,764884.396,777000.214,788982.695,800827.859,812534.941,824101.15,835515.99,846768.465,857855.003,868774.029,879523.703,890090.957,900469.066,910646.202,920616.087,930373.812,939919.531,949181.383,958147.881,966805.766,975140.216,983140.938,990784.374,998090.114,1005035.384,1011608.077,1017799.993,1023603.865,1029014.071,1034026.388,1038636.716
910,62921.611,64172.523,65463.231,66795.723,68175.957,69607.572,71093.647,72639.054,74251.63,75927.487,77668.17,79473.622,81344.309,83267.57,85246.75,87293.823,89408.083,91590.154,93839.038,96143.097,98539.422,100984.551,103480.813,106044.377,108665.7,111349.782,114101.156,116911.763,119792.389,122831.672,126040.328,129346.87,132732.071,136189.794,139738.904,143402.088,147214.494,151156.185,155130.041,159059.383,162795.259,166498.085,170016.399,173553.347,177328.785,181431.829,185879.919,190651.534,195717.701,200924.526,206163.382,211349.973,216551.924,221870.173,227333.333,232915.502,238674.81,244964.533,250718.573,256572.034,262483.969,268444.495,274596.287,280815.566,287073.074,293362.422,299674.61,306001.925,312327.611,318637.474,324919.316,331162.962,337361.62,343510.89,349608.059,355649.192,361627.171,367533.325,373360.694,379102.178,384750.902,390300.813,395745.783,401079.237,406295.78,411389.331,416358.196,421196.198,425901.213,430474.323,434903.84,439189.734,443317.942,447289.335,451085.106,454698.928,458127.334,461366.252,464412.083,467261.671,469911.973
108,2268.946,2317.529,2360.353,2400.704,2441.07,2483.183,2527.952,2575.564,2625.484,2676.71,2728.24,2779.608,2831.347,2885.229,2943.615,3007.271,3077.209,3153.148,3229.645,3299.304,3357.279,3401.272,3434.162,3462.69,3496.372,3542.086,3602.1,3674.534,3757.036,3845.629,3938.168,4033.004,4130.86,4232.971,4341.235,4456.552,4579.291,4707.438,4836.541,4960.765,5075.806,5184.309,5285.413,5377.609,5459.75,5532.158,5593.335,5646.459,5701.961,5774.394,5872.887,6001.113,6156.269,6333.751,6526.045,6727.349,6937.204,7156.384,7381.365,7608.188,7833.959,8056.443,8276.416,8497.927,8726.909,8967.359,9220.356,9483.827,9754.746,10028.767,10302.641,10575.557,10848.076,11120.085,11391.765,11663.312,11934.439,12204.981,12475.403,12746.43,13018.607,13291.963,13566.48,13842.582,14120.79,14401.539,14684.196,14968.607,15254.41,15541.092,15828.117,16115.121,16401.578,16686.665,16969.424,17248.994,17524.846,17796.486,18063.235,18324.39,18579.352
174,148.933,151.635,153.999,156.107,158.026,159.808,161.487,163.069,164.547,165.914,167.133,168.225,169.217,170.169,171.144,172.207,173.412,176.302,179.36,182.435,185.447,188.303,191.113,194.183,197.934,202.643,208.441,215.162,222.401,229.601,236.366,242.495,248.167,253.593,259.079,264.837,270.89,277.17,283.627,290.219,296.885,303.637,312.345,321.724,331.241,340.851,350.556,360.339,370.21,380.114,390.064,400.041,410.073,420.218,430.581,441.134,451.884,462.822,473.954,485.27,496.767,508.448,520.293,532.229,544.189,556.09,567.911,579.639,591.255,602.75,614.114,625.324,636.352,647.197,657.832,668.246,678.42,688.34,697.99,707.367,716.454,725.411,734.246,742.94,751.495,759.914,768.177,776.291,784.245,792.025,799.617,807.029,814.238,821.246,828.031,834.588,840.908,846.985,852.815,858.388,863.694
262,37.319,37.455,37.639,37.832,38.037,38.266,38.558,38.967,39.556,40.397,41.546,42.967,44.635,46.503,48.464,50.459,52.513,54.656,56.83,58.96,61.026,62.874,64.578,66.622,69.558,73.662,79.115,85.526,91.883,96.99,100.165,101.127,100.394,100.404,102.66,106.723,112.983,120.909,129.351,136.72,141.949,144.952,146.626,147.158,147.789,149.401,152.253,156.032,160.358,164.626,168.406,171.618,174.439,176.988,179.465,182.018,184.663,187.353,190.109,192.941,195.77,198.612,201.456,204.251,206.929,209.442,211.764,213.906,215.875,217.689,219.361,220.887,222.257,223.462,224.496,225.352,226.028,226.524,226.834,226.957,226.889,226.632,226.186,225.55,224.729,223.725,222.633,221.459,220.205,218.874,217.47,215.998,214.459,212.857,211.195,209.48,207.712,205.893,204.028,202.116,200.165
232,1061.055,1074.721,1090.146,1107.099,1125.385,1144.875,1165.528,1187.349,1210.394,1234.774,1260.547,1287.742,1316.24,1345.808,1376.11,1406.956,1438.21,1469.951,1506.151,1543.497,1582.16,1622.194,1663.579,1706.293,1750.262,1795.472,1841.75,1889.166,1938.08,1989.02,2042.251,2097.069,2152.887,2210.21,2268.28,2319.335,2373.226,2428.321,2477.473,2511.507,2524.735,2514.669,2485.703,2447.795,2414.204,2394.438,2390.485,2399.845,2421.309,2452.414,2490.747,2537.002,2590.231,2645.064,2694.69,2734.684,2763.263,2782.012,2793.54,2819.613,2846.355,2874.045,2902.04,2931.111,2961.994,2995.125,3030.917,3069.11,3108.634,3148.013,3186.178,3222.842,3258.219,3292.413,3325.66,3358.128,3389.751,3420.401,3450.178,3479.197,3507.555,3535.255,3562.248,3588.53,3614.066,3638.874,3663.106,3685.912,3707.353,3727.295,3745.623,3762.288,3777.252,3790.444,3801.792,3811.254,3818.808,3824.456,3828.225,3830.159,3830.298
231,17294.144,17588.265,17893.419,18207.743,18530.273,18861.296,19202.199,19555.668,19924.942,20313.997,20726.182,21163.537,21625.206,22107.695,22605.676,23115.787,23631.15,24152.43,24720.362,25325.072,25974.896,26684.498,27442.47,28201.3,28896.147,29486.113,29950.348,30317.258,30654.6,31057.345,31593.677,32287.893,33121.085,34066.716,35080.118,36127.293,37201.365,38313.757,39476.14,40707.437,42017.468,43410.847,44873.477,46375.843,47877.39,49385.397,50869.776,52326.119,53771.445,55232.981,56730.042,58268.076,59839.634,61438.556,63054.369,64680.71,66314.612,67946.189,69451.069,70972.092,72513.53,74076.738,75656.319,77262.426,78869.363,80469.946,82059.981,83640.582,85207.113,86759.295,88295.647,89813.744,91310.183,92781.43,94223.602,95633.359,97008.125,98346.073,99645.613,100905.514,102124.458,103300.99,104433.392,105519.835,106558.492,107547.947,108487.128,109375.753,110214.274,111003.755,111745.181,112439.341,113087.32,113692.326,114239.057,114730.192,115165.168,115543.554,115864.683,116127.924,116332.817
404,5737.091,5881.54,6033.47,6192.618,6358.765,6531.88,6712.028,6899.455,7094.423,7297.361,7508.683,7728.858,7958.161,8192.379,8434.929,8686.795,8948.057,9219.376,9501.898,9797.234,10094.027,10401.029,10719.963,11050.751,11392.543,11744.9,12106.747,12478.06,12859.033,13250.627,13733.732,14251.258,14788.542,15343.129,15911.673,16491.493,17081.417,17680.897,18288.295,18902.006,19483.07,20058.74,20634.704,21209.905,21782.569,22352.157,22918.171,23482.301,24047.421,24617.96,25194.298,25779.834,26374.762,26981.085,27600.542,28234.834,28883.861,29547.088,30222.715,30909.074,31603.483,32303.238,33007.2,33712.691,34416.636,35116.503,35810.733,36498.515,37179.074,37851.953,38516.638,39172.008,39817.146,40451.978,41076.706,41691.191,42294.705,42886.126,43464.414,44028.406,44577.009,45109.461,45624.97,46122.484,46601.028,47060.114,47500.626,47919.195,48316.629,48692.108,49044.98,49374.66,49680.841,49963.508,50222.809,50458.808,50671.311,50860.057,51024.897,51165.721,51282.416
