Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,1503,339256.835,343197.551,347428.604,351865.718,356442.319,361109.369,365836.392,370610.479,375433.771,380319.285,385278.721,390308.439,395378.282,400426.352,405373.348,410164.062,414765.052,419193.25,423506.965,427793.334,432113.335,436489.6,440896.387,445288.569,449599.132,453781.537,457822.762,461744.863,465578.86,469370.735,473155.293,476942.737,480727.498,484508.826,488281.887,492043.455,495794.377,499539.916,503287.065,507044.247,510816.324,514615.49,518438.767,522257.928,526033.548,529742.184,533377.22,536962.385,540543.677,544183.685,547932.088,551781.368,555727.347,559824.161,564137.963,568702.382,573548.884,578625.656,583779.118,588800.203,593535.89,597918.259,601976.923,605775.744,609423.287,612994.86,616510.938,619930.602,623196.681,626227.58,628969.382
Estimates,1517,859073.18,878102.562,896396.139,914366.037,932351.744,950620.153,969362.401,988697.081,1008678.264,1029309.619,1050585.821,1072537.212,1095268.447,1118975.367,1143897.587,1170179.95,1197898.691,1226934.3,1256985.239,1287629.4,1318538.351,1349640.483,1380954.145,1412351.891,1443709.319,1474956.779,1506017.52,1536947.317,1567983.233,1599458.556,1631628.381,1664455.902,1697890.5,1732140.979,1767460.624,1803960.576,1841790.029,1880706.852,1919944.941,1958469.513,1995535.152,2030839.448,2064571.507,2097085.969,2128965.015,2160642.594,2192206.416,2223533.462,2254607.238,2285363.848,2315770.639,2345865.778,2375731.212,2405427.291,2435024.35,2464585.938,2494108.159,2523618.23,2553243.903,2583143.597,2613412.715,2644091.78,2675097.838,2706243.342,2737266.759,2767958.947,2798253.329,2828138.858,2857529.435,2886342.656,2914516.53
Estimates,1502,472419.769,484503.225,495367.144,505453.806,515127.842,524676.156,534304.893,544142.476,554248.57,564628.967,575280.445,586238.833,597620.486,609640.477,622561.747,636545.595,651672.582,667818.968,684679.103,701822.854,718912.038,735870.382,752706.105,769271.331,785416.947,801050.643,816103.93,830625.059,844796.753,858883.175,873099.154,887398.961,901775.304,916517.406,931989.206,948394.867,965912.521,984320.377,1002927.129,1020781.998,1037202.126,1051931.116,1065161.277,1077211.719,1088602.693,1099724.937,1110658.103,1121303.341,1131670.363,1141733.014,1151484.17,1160971.019,1170262.516,1179395.339,1188405.644,1197331.478,1206167.565,1214947.926,1223793.285,1232855.643,1242229.532,1251954.777,1261960.698,1272089.405,1282118.548,1291870.943,1301297.142,1310392.571,1319079.983,1327282.743,1334946.551
Estimates,1501,386653.411,393599.337,401028.995,408912.231,417223.902,425943.997,435057.508,444554.605,454429.694,464680.652,475305.376,486298.379,497647.961,509334.89,521335.84,533634.355,546226.109,559115.332,572306.136,585806.546,599626.313,613770.101,628248.04,643080.56,658292.372,673906.136,689913.59,706322.258,723186.48,740575.381,758529.227,777056.941,796115.196,815623.573,835471.418,855565.709,875877.508,896386.475,917017.812,937687.515,958333.026,978908.332,999410.23,1019874.25,1040362.322,1060917.657,1081548.313,1102230.121,1122936.875,1143630.834,1164286.469,1184894.759,1205468.696,1226031.952,1246618.706,1267254.46,1287940.594,1308670.304,1329450.618,1350287.954,1371183.183,1392137.003,1413137.14,1434153.937,1455148.211,1476088.004,1496956.187,1517746.287,1538449.452,1559059.913,1579569.979
Estimates,1500,67541.285,68537.885,69619.296,70799.406,72086.351,73482.552,74984.314,76582.233,78262.26,80007.268,81802.202,83639.748,85524.86,87476.967,89524.002,91685.566,93968.131,96363.39,98858.191,101432.685,104072.14,106772.809,109538.328,112369.523,115269.315,118240.085,121286.587,124408.903,127599.397,130847.415,134148.717,137504.368,140928.434,144446.654,148092.453,151893.793,155849.275,159961.967,164267.614,168809.988,173613.984,178710.141,184075.385,189615.638,195200.696,200741.665,206198.842,211612.606,217072.329,222708.498,228615.808,234816.117,241279.244,247983.928,254891.305,261968.242,269230.497,276679.746,284251.931,291863.104,299461.506,307018.016,314572.737,322229.381,330132.667,338389.891,347025.301,356015.55,365360.276,375045.225,385051.462
Estimates,1518,388.256,399.611,410.486,421.6,433.413,446.225,460.104,474.833,490.03,505.227,519.958,533.968,547.341,560.594,574.42,589.301,605.71,623.146,640.298,655.094,666.34,673.254,676.743,678.571,681.565,687.625,697.555,710.738,726.057,741.768,756.636,770.259,783.155,796.119,810.407,826.779,845.638,866.497,888.309,909.744,929.802,948.1,965.07,981.285,997.737,1015.106,1033.484,1052.537,1072.465,1093.388,1115.323,1138.498,1162.646,1186.651,1209.008,1228.705,1245.389,1259.388,1271.43,1282.519,1293.524,1304.538,1315.508,1326.865,1339.124,1352.676,1367.653,1384.083,1401.469,1419.15,1436.579
Estimates,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,903,113209.034,115442.677,117800.671,120282.443,122887.057,125613.462,128460.071,131425.149,134506.702,137702.958,141012.754,144436.453,147976.464,151637.535,155426.036,159347.724,163408.298,167610.982,171956.71,176444.95,181078.481,185856.94,190789.973,195898.003,201206.927,206736.229,212494.03,218477.826,224681.005,231091.554,237700.047,244500.154,251492.736,258683.344,266080.185,273685.814,281503.621,289520.176,297700.225,305997.074,314377.324,322832.733,331372.563,340003.907,348740.693,357597.604,366582.921,375707.652,384994.564,394470.824,404163.048,414086.313,424259.65,434718.472,445503.481,456648.127,468164.354,480060.381,492359.583,505085.799,518252.648,531867.833,545918.311,560368.999,575170.334,590281.019,605689.061,621386.542,637340.523,653513.68,669878.34
Estimates,935,719348.472,734977.434,749651.575,763844.792,777943.084,792244.655,806956.2,822196.553,838007.237,854370.262,871261.096,888705.284,906828.131,925875.85,946155.253,967857.047,991069.81,1015652.594,1041273.402,1067463.837,1093855.028,1120370.476,1147019.015,1173625.393,1200007.13,1226052.601,1251668.068,1276916.596,1302049.845,1327428.215,1353330.964,1379744.305,1406628.301,1434192.723,1462687.746,1492236.67,1522973.296,1554701.276,1586800.663,1618427.787,1648967.598,1678191.253,1706237.743,1733316.053,1759793.145,1785949.418,1811810.978,1837306.436,1862512.828,1887510.586,1912363.401,1937108.571,1961762.1,1986334.537,2010824.153,2035223.713,2059545.355,2083779.938,2107869.159,2131733.865,2155312.337,2178564.217,2201486.145,2224096.128,2246430.074,2268502.595,2290307.379,2311794.77,2332882.809,2353466.245,2373462.035
Estimates,908,256462.13,259098.009,261932.512,264881.639,267882.726,270894.067,273896.454,276891.642,279899.394,282951.63,286076.056,289278.23,292526.098,295743.381,298828.457,301709.522,304353.716,306783.376,309050.845,311236.8,313400.001,315555.885,317686.307,319776.994,321802.745,323745.702,325608.195,327401.029,329125.202,330782.486,332376.521,333895.933,335345.271,336761.812,338195.865,339677.384,341223.004,342805.034,344355.125,345778.343,347004.736,348024.92,348855.475,349485.814,349910.37,350135.523,350148.492,349976.539,349717.939,349502.757,349427.152,349528.912,349792.17,350192.418,350681.896,351223.455,351815.172,352466.112,353161.198,353882.621,354615.363,355344.285,356062.31,356771.34,357478,358182.5,358887.739,359576.155,360203.289,360711.588,361060.973
