Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Medium variant,1503,628969.382,631402.384,633559.998,635506.375,637332.866,639107.535,640852.492,642555.368,644208.054,645790.488,647287.755,648704.281,650048.583,651313.897,652490.982,653573.7,654560.231,655453.659,656259.659,656986.159,657639.525,658222.292,658734.895,659179.16,659556.784,659869.281,660119.531,660310.085,660442.267,660517.227,660536.586,660502.875,660419.677,660290.71,660119.886,659911.465,659668.634,659395.01,659095.798,658776.748,658442.918,658097.653,657743.79,657385.542,657027.164,656672.012,656322.942,655981.177,655647.184,655320.252,655000.158,654687.684,654383.836,654088.518,653801.26,653521.686,653250.35,652987.631,652733.137,652490.104,652255.756,652028.242,651808.284,651600.556,651406.288,651223.644,651053.405,650895.705,650754.299,650628.879,650516.476,650417.567,650332.522,650265.058,650212.758,650174.267,650149.507,650138.292,650147.425,650166.84,650195.59
Medium variant,1517,2914516.53,2941994.042,2968759.897,2994852.463,3020341.093,3045278.217,3069665.668,3093485.918,3116749.784,3139468.399,3161650.234,3183303.393,3204428.729,3225018.422,3245059.577,3264543.349,3283468.688,3301841.354,3319667.356,3336955.505,3353712.536,3369941.241,3385641.916,3400815.85,3415463.963,3429587.423,3443188.36,3456269.037,3468830.368,3480873.086,3492398.111,3503409.866,3513911.248,3523901.037,3533376.857,3542339.373,3550791.25,3558741.04,3566201.695,3573189.822,3579719.662,3585800.741,3591439.009,3596641.244,3601413.232,3605761.815,3609695.06,3613222.769,3616355.141,3619103.217,3621477.394,3623487.377,3625141.669,3626447.692,3627412.152,3628042.771,3628348.741,3628340.69,3628029.038,3627424.903,3626539.219,3625379.772,3623956.605,3622285.959,3620386.151,3618272.143,3615952.487,3613431.178,3610710.731,3607791.345,3604673.26,3601357.511,3597845.925,3594140.05,3590240.647,3586146.712,3581855.232,3577361.188,3572657.36,3567734.546,3562581.117
Medium variant,1502,1334946.551,1342025.932,1348520.599,1354483.772,1360000.732,1365138.216,1369911.361,1374312.71,1378360.904,1382073.23,1385465.543,1388553.845,1391351.298,1393867.184,1396108.475,1398082.493,1399797.627,1401263.775,1402490.493,1403487.609,1404263.002,1404823.399,1405172.453,1405310.326,1405235.359,1404946.781,1404447.96,1403742.294,1402828.803,1401705.4,1400371.552,1398830.703,1397087.657,1395145.884,1393009.452,1390683.666,1388173.21,1385485.606,1382632.342,1379627.14,1376482.261,1373205.291,1369802.894,1366285.103,1362662.197,1358943.323,1355135.679,1351244.599,1347274.26,1343227.69,1339108.042,1334920.834,1330670.683,1326358.003,1321981.884,1317543.09,1313044.825,1308493.207,1303895.153,1299259.126,1294592.601,1289899.562,1285184.091,1280454.766,1275720.948,1270990.179,1266265.286,1261547.068,1256837.076,1252135.982,1247443.044,1242756.45,1238073.008,1233388.166,1228696.379,1223991.057,1219264.493,1214507.935,1209711.759,1204865.222,1199956.42
Medium variant,1501,1579569.979,1599968.11,1620239.298,1640368.691,1660340.361,1680140.001,1699754.307,1719173.208,1738388.88,1757395.169,1776184.691,1794749.548,1813077.431,1831151.238,1848951.102,1866460.856,1883671.061,1900577.579,1917176.863,1933467.896,1949449.534,1965117.842,1980469.463,1995505.524,2010228.604,2024640.642,2038740.4,2052526.743,2066001.565,2079167.686,2092026.559,2104579.163,2116823.591,2128755.153,2140367.405,2151655.707,2162618.04,2173255.434,2183569.353,2193562.682,2203237.401,2212595.45,2221636.115,2230356.141,2238751.035,2246818.492,2254559.381,2261978.17,2269080.881,2275875.527,2282369.352,2288566.543,2294470.986,2300089.689,2305430.268,2310499.681,2315303.916,2319847.483,2324133.885,2328165.777,2331946.618,2335480.21,2338772.514,2341831.193,2344665.203,2347281.964,2349687.201,2351884.11,2353873.655,2355655.363,2357230.216,2358601.061,2359772.917,2360751.884,2361544.268,2362155.655,2362590.739,2362853.253,2362945.601,2362869.324,2362624.697
Medium variant,1500,385051.462,395388.276,406039.358,416925.714,427943.156,439013.153,450102.175,461216.868,472369.284,483588.25,494894.506,506282.253,517737.822,529266.212,540874.818,552567.941,564345.087,576201.551,588131.854,600128.564,612184.587,624295.584,636457.122,648661.304,660899.505,673163.608,685447.177,697744.552,710049.195,722354.629,734654.399,746942.35,759212.484,771458.972,783676.083,795858.276,807999.589,820094.461,832137.543,844123.801,856048.084,867905.005,879689.093,891394.359,903014.819,914544.57,925978.617,937312.104,948539.646,959655.953,970656.048,981535.212,992289.292,1002914.674,1013408.19,1023766.487,1033986.232,1044063.483,1053993.904,1063772.93,1073396.496,1082861.415,1092165.349,1101306.332,1110282.948,1119093.593,1127736.785,1136210.363,1144512.42,1152640.841,1160593.934,1168370.743,1175970.828,1183394.341,1190641.478,1197712.724,1204608.518,1211329.43,1217875.992,1224248.773,1230448.412
Medium variant,1518,1436.579,1453.688,1470.509,1487.201,1503.827,1520.605,1537.428,1554.238,1571.037,1587.78,1604.428,1620.972,1637.408,1653.675,1669.701,1685.485,1700.993,1716.2,1731.102,1745.688,1759.96,1773.888,1787.514,1800.844,1813.869,1826.662,1839.188,1851.49,1863.565,1875.4,1887.041,1898.474,1909.743,1920.854,1931.814,1942.657,1953.369,1964.016,1974.586,1985.104,1995.546,2005.926,2016.263,2026.579,2036.795,2047.031,2057.161,2067.257,2077.284,2087.22,2097.089,2106.843,2116.46,2125.968,2135.338,2144.579,2153.627,2162.504,2171.194,2179.644,2187.906,2195.906,2203.667,2211.165,2218.412,2225.382,2232.066,2238.47,2244.581,2250.405,2255.925,2261.191,2266.146,2270.814,2275.264,2279.441,2283.365,2287.067,2290.568,2293.873,2297.002
Medium variant,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium variant,903,669878.34,686414.95,703122.445,720015.63,737120.718,754456.218,772021.299,789805.698,807807.305,826022.335,844446.614,863076.227,881906.341,900929.796,920138.062,939522.316,959074.526,978786.285,998647.259,1018646.278,1038772.147,1059015.333,1079365.081,1099806.821,1120324.853,1140904.892,1161535.457,1182207.256,1202910.907,1223637.921,1244379.541,1265126.694,1285869.832,1306599.817,1327307.576,1347984.597,1368621.71,1389211.45,1409748.092,1430227.183,1450643.233,1470989.08,1491255.907,1511433.929,1531512.672,1551482.311,1571334.273,1591061.107,1610655.18,1630109.24,1649415.785,1668566.763,1687553.821,1706368.723,1725003.082,1743448.731,1761698.571,1779744.767,1797577.399,1815185.773,1832560.486,1849694.391,1866582.326,1883220.108,1899604.649,1915732.606,1931599.849,1947201.701,1962534.339,1977593.99,1992377.283,2006881.52,2021104.455,2035044.389,2048699.953,2062069.934,2075153.34,2087949.506,2100457.913,2112678.293,2124610.436
Medium variant,935,2373462.035,2392835.597,2411580.926,2429680.843,2447126.926,2463913.526,2480023.938,2495450.227,2510208.667,2524325.775,2537821.848,2550703.474,2562967.69,2574614.832,2585643.088,2596053.268,2605850.039,2615042.778,2623643.268,2631665.804,2639122.703,2646022.236,2652370.894,2658177.103,2663449.374,2668195.717,2672424.025,2676141.485,2679353.847,2682066.499,2684284.905,2686017.701,2687272.314,2688051.952,2688358.357,2688196.064,2687571.889,2686497.331,2684987.373,2683059.651,2680730.066,2678010.593,2674910.708,2671441.321,2667613.015,2663436.473,2658923.315,2654085.493,2648934.476,2643482.183,2637740.257,2631720.944,2625435.887,2618895.913,2612111.42,2605093.517,2597853.935,2590405.868,2582763.607,2574945.773,2566964.463,2558828.014,2550548.251,2542145.417,2533637.69,2525037.061,2516353.958,2507593.91,2498764.02,2489865.191,2480895.637,2471857.786,2462754.592,2453592.447,2444370.586,2435087.602,2425741.639,2416328.626,2406849.424,2397285.964,2387627.459
Medium variant,908,361060.973,361233.128,361242.024,361120.628,360918.917,360674.734,360398.808,360084.693,359733.335,359341.267,358907.037,358434.876,357931.802,357402.332,356851.112,356281.964,355697.365,355098.775,354488.158,353866.843,353235.822,352596.123,351947.54,351287.777,350613.402,349921.631,349211.996,348484.282,347736.33,346965.645,346170.388,345350.559,344506.846,343639.336,342748.346,341834.921,340900.218,339946.673,338978.239,338000.05,337016.74,336030.933,335045.449,334065.118,333095.348,332140.711,331204.182,330287.731,329394.087,328525.502,327683.987,326870.928,326087.37,325333.483,324608.943,323913.243,323246.517,322608.333,321997.349,321411.858,320850.085,320310.808,319792.918,319294.938,318815.369,318352.473,317905.042,317471.293,317048.562,316633.821,316224.419,315818.601,315415.356,315013.914,314613.624,314214.094,313814.308,313413.285,313009.62,312601.826,312187.973
