Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Medium variant,1503,634123.552,636272.841,638272.701,640149.765,641938.222,643664.217,645338.116,646958.805,648526.004,650035.255,651481.959,652869.747,654199.353,655459.793,656635.864,657716.459,658698.355,659584.021,660375.636,661077.522,661693.496,662224.572,662671.483,663037.716,663327.764,663545.557,663694.176,663776.262,663795.567,663756.013,663661.27,663515.135,663320.757,663081.253,662799.445,662478.488,662121.492,661732.468,661315.97,660877.142,660420.676,659949.693,659467.242,658977.001,658482.828,657987.905,657495.345,657007.109,656523.872,656045.746,655573.093,655107.149,654650.168,654204.387,653772.501,653356.551,652957.949,652577.455,652216.054,651873.921,651551.833,651250.325,650970.109,650711.454,650474.639,650259.885,650067.185,649896.664,649748.24,649622.294,649518.562,649436.727,649375.905,649335.224,649313.524,649309.521,649321.92,649349.363,649390.607,649444.122,649508.451
Medium variant,1517,2838535.085,2866128.273,2893089.995,2919465.832,2945334.439,2970753.467,2995724.391,3020224.007,3044256.718,3067825.046,3090928.017,3113568.832,3135740.928,3157420.329,3178574.811,3199179.468,3219222.797,3238704.597,3257624.966,3275988.497,3293797.086,3311048.205,3327734.587,3343848.026,3359378.479,3374318.889,3388666.783,3402423.959,3415591.877,3428173.923,3440174.001,3451596.655,3462445.929,3472724.505,3482434.856,3491582.316,3500172.937,3508218.44,3515737.596,3522753.225,3529285.14,3535347.301,3540949.214,3546102.328,3550816.682,3555103.27,3558974.678,3562444.238,3565524.612,3568228.167,3570567.748,3572554.629,3574201.329,3575522.968,3576535.651,3577253.777,3577690.534,3577855.633,3577755.608,3577395.318,3576781.102,3575919.462,3574822.102,3573505.963,3571990.445,3570291.107,3568414.914,3566363.944,3564142.027,3561750.854,3559190.818,3556460.408,3553557.123,3550476.572,3547212.833,3543757.987,3540102.323,3536234.354,3532140.656,3527805.922,3523212.916
Medium variant,1502,1319869.78,1327524.868,1334639.404,1341263.61,1347479.264,1353349.136,1358883.502,1364069.894,1368922.181,1373453.049,1377672.434,1381591.862,1385216.723,1388542.583,1391559.783,1394262.294,1396650.704,1398731.394,1400510.351,1401995.531,1403192.868,1404105.979,1404734.558,1405075.888,1405125.246,1404879.834,1404342.468,1403517.292,1402404.535,1401004.08,1399318.075,1397351.856,1395113.592,1392612.367,1389858.967,1386864.944,1383639.973,1380195.821,1376549.512,1372720.465,1368726.442,1364580.058,1360293.581,1355883.98,1351369.134,1346764.952,1342084.22,1337336.419,1332529.586,1327669.675,1322763.244,1317818.854,1312845.116,1307848.112,1302833.22,1297805.973,1292772.658,1287739.9,1282713.779,1277700.355,1272705.533,1267733.205,1262788.44,1257878.562,1253011.639,1248193.911,1243426.58,1238709.774,1234046.431,1229439.339,1224888.604,1220390.721,1215939.189,1211524.885,1207136.986,1202763.685,1198392.395,1194010.036,1189602.906,1185156.767,1180656.837
Medium variant,1501,1518665.305,1538603.405,1558450.591,1578202.222,1597855.175,1617404.331,1636840.889,1656154.113,1675334.537,1694371.997,1713255.583,1731976.97,1750524.205,1768877.746,1787015.028,1804917.174,1822572.093,1839973.203,1857114.615,1873992.966,1890604.218,1906942.226,1923000.029,1938772.138,1954253.233,1969439.055,1984324.315,1998906.667,2013187.342,2027169.843,2040855.926,2054244.799,2067332.337,2080112.138,2092575.889,2104717.372,2116532.964,2128022.619,2139188.084,2150032.76,2160558.698,2170767.243,2180655.633,2190218.348,2199447.548,2208338.318,2216890.458,2225107.819,2232995.026,2240558.492,2247804.504,2254735.775,2261356.213,2267674.856,2273702.431,2279447.804,2284917.876,2290115.733,2295041.829,2299694.963,2304075.569,2308186.257,2312033.662,2315627.401,2318978.806,2322097.196,2324988.334,2327654.17,2330095.596,2332311.515,2334302.214,2336069.687,2337617.934,2338951.687,2340075.847,2340994.302,2341709.928,2342224.318,2342537.75,2342649.155,2342556.079
Medium variant,1500,390659.15,400801.321,411217.563,421852.963,432634.258,443505.387,454443.962,465453.175,476534.993,487700.68,498958.311,510300.605,521718.59,533217.809,544806.898,556491.379,568270.19,580137.871,592089.265,604117.688,616216.549,628381.682,640608.62,652889.705,665216.156,677580.133,689975.267,702396.071,714836.351,727290.108,739751.274,752213.861,764671.828,777119.179,789549.869,801958.088,814337.849,826683.495,838989.999,851252.69,863466.576,875626.245,887725.84,899759.091,911719.349,923600.382,935396.779,947103.273,958714.225,970224.094,981627.394,992919.062,1004094.239,1015148.537,1026077.905,1036878.235,1047545.353,1058074.708,1068461.438,1078700.581,1088787.493,1098718.43,1108490.074,1118099.21,1127542.824,1136818.098,1145922.367,1154853.053,1163607.788,1172184.631,1180581.59,1188797.055,1196829.523,1204677.489,1212340.016,1219815.973,1227104.823,1234205.946,1241119.019,1247843.983,1254380.838
Medium variant,1518,1506.989,1524.907,1542.556,1560.025,1577.394,1594.872,1612.419,1629.939,1647.427,1664.825,1682.161,1699.371,1716.46,1733.375,1750.054,1766.448,1782.544,1798.363,1813.807,1828.939,1843.643,1858.012,1871.992,1885.58,1898.829,1911.719,1924.28,1936.493,1948.375,1959.959,1971.218,1982.171,1992.831,2003.259,2013.409,2023.341,2033.098,2042.656,2052.012,2061.211,2070.236,2079.098,2087.81,2096.4,2104.899,2113.259,2121.538,2129.691,2137.783,2145.782,2153.643,2161.462,2169.155,2176.776,2184.299,2191.754,2199.082,2206.302,2213.439,2220.435,2227.339,2234.084,2240.71,2247.213,2253.567,2259.749,2265.778,2271.622,2277.314,2282.783,2288.075,2293.136,2297.987,2302.551,2306.906,2311.008,2314.873,2318.428,2321.688,2324.687,2327.342
Medium variant,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium variant,903,670719.773,687071.522,703606.315,720337.73,737289.7,754478.985,771905.074,789559.003,807440.085,825546.238,843874.503,862421.678,881182.953,900150.993,919316.82,938671.388,958206.901,977915.488,997787.177,1017811.428,1037977.432,1058275.899,1078696.472,1099225.215,1119846.815,1140547.611,1161316.233,1182143.908,1203021.637,1223941.732,1244895.898,1265875.352,1286870.452,1307871.952,1328870.006,1349855.775,1370820.192,1391755.496,1412656.165,1433517.587,1454334.201,1475098.764,1495802.239,1516435.207,1536987.16,1557448.411,1577810.502,1598065.665,1618206.085,1638224.11,1658111.808,1677860.912,1697462.808,1716909.817,1736194.124,1755307.901,1774243.61,1792992.677,1811544.211,1829886.858,1848010.239,1865906.195,1883568.337,1900990.527,1918167.336,1935093.269,1951762.595,1968169.195,1984307.723,2000173.068,2015760.456,2031065.34,2046083.76,2060811.648,2075245.833,2089382.871,2103219.867,2116754.115,2129983.064,2142904.619,2155516.695
Medium variant,935,2267592.751,2286824.983,2305574.711,2323819.788,2341539.021,2358715.923,2375332.566,2391382.781,2406877.23,2421835.514,2436270.044,2450182.025,2463559.538,2476386.544,2488641.567,2500308.786,2511382.015,2521864.267,2531760.181,2541078.575,2549825.951,2558004.441,2565612.541,2572648.891,2579111.315,2584999.347,2590315.661,2595065.631,2599254.736,2602889.89,2605978.214,2608527.67,2610545.363,2612036.181,2613004.869,2613458.468,2613405.53,2612859.669,2611839.88,2610368.353,2608465.28,2606145.566,2603421.166,2600305.891,2596812.861,2592955.67,2588749.123,2584208.105,2579346.344,2574177.222,2568714.648,2562971.749,2556963.656,2550708.642,2544226.532,2537534.997,2530649.467,2523581.655,2516340.846,2508934.303,2501370.757,2493659.305,2485813.208,2477850.548,2469791.412,2461652.426,2453442.257,2445165.293,2436827.06,2428431.209,2419980.16,2411474.609,2402913.994,2394296.259,2385617.733,2376872.786,2368054.357,2359153.273,2350158.878,2341058.409,2331837.41
Medium variant,908,386575.072,386514.268,386301.803,385969.17,385562.423,385116.546,384642.386,384134.555,383593.352,383014.55,382395.482,381739.812,381053.234,380337.114,379592.234,378819.293,378019.679,377194.605,376345.025,375471.562,374574.807,373655.4,372713.675,371748.972,370760.405,369747.274,368709.758,367648.261,366562.312,365451.626,364315.938,363156.061,361972.947,360766.7,359537.455,358285.819,357013.241,355722.281,354416.102,353098.672,351773.755,350443.947,349112.214,347783.278,346462.422,345154.292,343862.159,342588.477,341336.242,340108.133,338906.77,337734.233,336592.546,335483.575,334409.041,333370.177,332368.017,331403.247,330476.583,329588.335,328738.676,327927.227,327153.351,326416.14,325714.298,325046.361,324410.951,323806.185,323229.003,322676.134,322144.147,321630.269,321132.001,320647.01,320172.867,319706.762,319245.643,318785.996,318323.901,317855.007,317374.589
