Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,1503,355732.271,359806.23,364105.16,368570.191,373153.573,377819.236,382542.696,387310.863,392120.526,396975.694,401879.509,406826.307,411794.092,416741.258,421615.869,426381.268,431013.942,435522.995,439944.991,444335.182,448732.286,453149.331,457568.367,461960.126,466281.1,470501.012,474612.864,478629.672,482565.451,486441.68,490276.091,494072.43,497831.4,501564.597,505285.184,509003.425,512724.793,516450.267,520179.576,523909.957,527639.097,531370.285,535104.395,538832.123,542541.361,546224.269,549882.127,553521.54,557147.386,560766.197,564386.246,567994.448,571596.876,575242.082,578994.435,582892.494,586954.565,591144.949,595380.782,599547.868,603559.151,607384.322,611031.59,614499.681,617799.699,620939.79,623915.37,626717.858,629349.65,631815.904,634123.552
Estimates,1517,844523.316,862983.37,880733.243,898170.104,915620.83,933341.923,951516.946,970259.109,989619.427,1009600.191,1030195.098,1051432.754,1073413.754,1096327.327,1120405.291,1145787.535,1172547.943,1200570.864,1229564.503,1259120.814,1288922.278,1318903.539,1349083.599,1379334.601,1409529.501,1439598.66,1469455.956,1499161.982,1528982.195,1559289.045,1590359.438,1622187.476,1654701.897,1688020.365,1722271.588,1757485.299,1793766.795,1830924.467,1868321.53,1905106.33,1940663.823,1974734.067,2007462.184,2039141.382,2070254.89,2101161.038,2131940.307,2162484.988,2192751.24,2222646.531,2252120.37,2281195.318,2309963.425,2338526.885,2367015.449,2395537.879,2424104.882,2452737.558,2481561.796,2510727.857,2540325.463,2570399.849,2600874.672,2631560.278,2662191.388,2692556.64,2722590.109,2752283.796,2781554.765,2810324.658,2838535.085
Estimates,1502,466511.098,478312.544,488983.215,498953.795,508575.345,518119.527,527775.088,537651.341,547787.547,558169.015,568774.762,579628.668,590844.01,602642.788,615301.262,628990.615,643793.45,659582.37,676050.394,692765.126,709388.01,725848.058,742159.699,758177.913,773755.788,788806.584,803253.136,817153.289,830733.806,844317.384,858155.42,872232.935,886519.904,901224.073,916595.275,932759.875,949861.44,967715.233,985711.619,1003018.603,1019038.24,1033537.223,1046678.19,1058748.809,1070216.984,1081432.481,1092473.11,1103245.657,1113733.811,1123881.205,1133660.412,1143104.867,1152291.624,1161287.155,1170170.912,1179013.129,1187819.916,1196618.416,1205521.119,1214664.741,1224133.974,1233967.906,1244104.369,1254395.44,1264632.514,1274648.363,1284396.451,1293869.897,1302989.772,1311675.687,1319869.78
Estimates,1501,378012.218,384670.826,391750.028,399216.309,407045.485,415222.396,423741.858,432607.768,441831.88,451431.176,461420.336,471804.086,482569.744,493684.539,505104.029,516796.92,528754.493,540988.494,553514.109,566355.688,579534.268,593055.481,606923.9,621156.688,635773.713,650792.076,666202.82,682008.693,698248.389,714971.661,732204.018,749954.541,768181.993,786796.292,805676.313,824725.424,843905.355,863209.234,882609.911,902087.727,921625.583,941196.844,960783.994,980392.573,1000037.906,1019728.557,1039467.197,1059239.331,1079017.429,1098765.326,1118459.958,1138090.451,1157671.801,1177239.73,1196844.537,1216524.75,1236284.966,1256119.142,1276040.677,1296063.116,1316191.489,1336431.943,1356770.303,1377164.838,1397558.874,1417908.277,1438193.658,1458413.899,1478564.993,1498648.971,1518665.305
Estimates,1500,69500.58,70580.965,71732.267,72969.098,74300.744,75731.215,77258.954,78877.103,80574.472,82336.95,84152.257,86014.581,87929,89913.342,91992.843,94185.16,96495.95,98917.877,101438.443,104039.233,106706.136,109436.667,112233.583,115094.444,118017.528,121002.316,124052.52,127170.623,130354.265,133599.914,136909.009,140280.968,143728.528,147283.273,150986.202,154868.301,158937.888,163191.719,167634.421,172266.974,177086.977,182106.028,187317.771,192680.013,198135.31,203644.943,209192.56,214796.793,220497.334,226352.261,232405.173,238661.815,245112.998,251768.34,258635.902,265717.376,273031.147,280568.502,288270.839,296058.235,303878.073,311707.568,319577.381,327554.161,335733.148,344185.808,352925.279,361936.875,371229.103,380804.516,390659.15
Estimates,1518,415.295,426.007,436.429,446.872,457.769,469.242,481.453,494.365,507.933,521.911,536.149,550.522,565.025,579.792,594.961,610.668,627.136,644.082,660.477,674.8,686.176,694.026,699.017,702.463,706.481,712.46,720.988,731.74,744.074,757.023,769.901,782.456,795.09,808.362,823.165,840.038,859.203,880.312,902.538,924.681,945.882,965.824,984.814,1003.26,1021.871,1041.131,1060.975,1081.336,1102.406,1124.624,1148.159,1173.189,1199.424,1225.803,1250.979,1273.94,1294.394,1312.614,1328.873,1343.605,1357.266,1369.836,1381.308,1392.589,1404.687,1418.355,1433.955,1451.278,1469.734,1488.516,1506.989
Estimates,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,903,114585.103,116885.134,119295.823,121809.978,124423.529,127135.455,129948.152,132867.073,135900.329,139057.762,142348.417,145778.032,149346.18,153045.884,156865.862,160799.571,164848.22,169019.995,173323.315,177769.449,182369.112,187126.245,192047.374,197146.104,202438.772,207938.447,213650.351,219576.9,225722.825,232091.958,238686.178,245503.728,252541.416,259796.404,267264.96,274940.326,282823.675,290904.115,299148.782,307515.034,315972.361,324511.308,333139.471,341865.426,350704.72,359672.508,368778.186,378029.932,387442.598,397033.34,406821.184,416816.226,427038.787,437529.865,448339.305,459506.158,471045.695,482961.456,495263.937,507959.926,521051.382,534541.879,548424.718,562676.138,577263.284,592157.784,607351.481,622835.727,638580.491,654550.496,670719.773
Estimates,935,685560.52,700841.633,715182.182,729050.172,742824.859,756797.259,771165.823,786040.473,801453.545,817377.618,833779.961,850680.563,868202.661,886594.505,906167.952,927117.195,949532.224,973270.459,997996.759,1023238.548,1048625.262,1074080.203,1099617.187,1125070.964,1150271.882,1175118.823,1199516.19,1223526.929,1247415.955,1271560.204,1296247.363,1321480.562,1347209.534,1373592.522,1400809.101,1428936.54,1458090.712,1488104.709,1518419.575,1548278.131,1577131.324,1604754.07,1631273.891,1656929.372,1682119.531,1707137.58,1732040.257,1756726.269,1781150.087,1805225.518,1828899.951,1852176.789,1875118.149,1897800.081,1920322.31,1942762.739,1965134.531,1987435,2009702.961,2031978.936,2054281.387,2076625.407,2098976.046,2121235.189,2143269.422,2164972.727,2186300.413,2207245.246,2227784.328,2247905.021,2267592.751
Estimates,908,292866.729,295226.497,297761.85,300400.325,303087.014,305784.697,308474.864,311156.581,313843.963,316561.599,319330.91,322155.805,325010.072,327831.752,330538.709,333073.669,335408.225,337562.116,339585.276,341552.853,343519.369,345500.218,347477.204,349430.979,351329.494,353149.755,354889.462,356558.509,358160.658,359702.531,361189.995,362617.517,363984.748,365308.613,366611.616,367906.802,369199.123,370474.244,371701.537,372838.933,373853.675,374750.937,375534.552,376170.979,376618.986,376858.91,376871.797,376692.885,376423.901,376202.685,376130.876,376243.024,376519.894,376941.825,377467.943,378064.426,378731.681,379472.447,380255.285,381040.769,381797.635,382506.36,383162.856,383770.535,384340.28,384876.478,385381.051,385838.602,386216.147,386471.227,386575.072
Estimates,904,84418.037,86654.309,88980.501,91386.486,93865.67,96414.935,99034.791,101729.348,104505.499,107371.865,110335.548,113398.544,116554.804,119788.695,123078.965,126409.533,129774.552,133175.937,136614.895,140095.727,143621.463,147191.958,150805.308,154461.658,158161.087,161904.425,165687.157,169510.442,173386.232,177330.766,181353.251,185458.633,189636.482,193861.935,198101.045,202328.426,206532.36,210715.787,214885.593,219054.83,223231.787,227414.386,231593.593,235762.588,239912.666,244035.729,248129.957,252191.749,256209.747,260170.268,264063.698,267885.795,271638.919,275328.92,278965.33,282555.989,286100.225,289598.427,293061.846,296504.62,299936.023,303361.871,306777.235,310167.822,313512.95,316797.437,320014.692,323168.161,326265.206,329317.828,332333.578
Estimates,905,86372.507,87678.589,89139.602,90725.4,92407.22,94157.555,95950.249,97760.428,99564.829,101342.185,103074.429,104748.008,106355.039,107893.804,109367.29,110779.217,112127.332,113412.911,114648.789,115852.564,117038.861,118211.376,119372.853,120535.602,121713.63,122916.685,124153.735,125423.278,126711.526,127997.77,129268.031,130516.784,131751.763,132988.114,134247.547,135545.306,136890.564,138278.266,139692.587,141110.159,142516.193,143897.216,145263.236,146650.589,148109.799,149672.972,151359.841,153148.336,154978.051,156764.367,158448.214,160001.838,161446.956,162833.643,164236.707,165708.108,167264.201,168880.953,170521.462,172131.082,173670.037,175128.053,176517.157,177846.718,179133.771,180391.555,181621.32,182820.344,183994.075,185148.641,186289.122
Estimates,909,6368.566,6510.41,6647.141,6783.904,6924.624,7071.715,7226.17,7387.537,7554.193,7723.717,7893.748,8063.212,8233.115,8407.079,8590.186,8785.446,8994.418,9214.4,9439.38,9660.888,9872.809,10073.563,10264.64,10446.327,10619.745,10786.313,10945.433,11097.959,11248.789,11404.433,11569.621,11746.106,11932.972,12129.009,12331.87,12539.663,12752.245,12969.644,13189.991,13410.855,13630.439,13848.287,14064.421,14277.824,14487.73,14693.682,14895.931,15095.486,15293.982,15493.435,15696.025,15901.098,16110.018,16328.776,16565.17,16824.269,17108.655,17415.34,17736.799,18062.232,18383.489,18698.005,19006.939,19310.307,19609.215,19904.612,20195.756,20481.727,20763.005,21040.381,21314.48
Estimates,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,947,90404.139,92113.79,93905.36,95771.598,97708.45,99715.061,101794.134,103951.616,106196.191,108538.412,110988.139,113551.849,116229.872,119015.893,121899.303,124874.409,127940.568,131106.647,134387.089,137801.13,141364.022,145081.634,148955.012,152985.672,157173.419,161518.579,166024.267,170693.842,175526.477,180520.296,185674.52,190985.182,196453.866,202091.367,207912.501,213925.341,220138.442,226542.331,233105.881,239786.114,246553.851,253399.692,260337.2,267388.744,274587.336,281959.578,289519.476,297268.981,305209.556,313338.916,321660.406,330176.444,338905.815,347886.918,357168.809,366787.492,376758.645,387077.553,397733.355,408705.582,419977.95,431547.255,443415.385,455575.394,468019.468,480739.799,493733.398,506993.719,520505.083,534248.369,548209.866
Estimates,910,33350.437,34085,34843.293,35628.565,36443.759,37291.71,38175.03,39096.218,40057.517,41061.013,42108.515,43201.725,44341.919,45530.204,46767.497,48054.44,49392.688,50782.963,52223.565,53711.822,55246.362,56827.395,58457.379,60139.721,61878.993,63679.102,65542.272,67469.781,69463.541,71525.167,73656.523,75852.968,78115.305,80456.461,82893.765,85436.194,88098.464,90868.838,93698.448,96520.507,99291.19,101988.084,104636.46,107298.737,110063.635,112995.218,116118.058,119414.142,122853.619,126388.404,129984.61,133635.722,137358.308,141168.689,145091.562,149144.98,153332.88,157650.316,162095.456,166663.936,171352.034,176159.111,181085.107,186127.009,191281.017,196543.438,201913.16,207387.59,212959.776,218621.186,224365.643
Estimates,108,1203.299,1228.934,1251.657,1273.142,1294.669,1317.12,1340.964,1366.273,1392.76,1419.895,1447.143,1474.273,1501.588,1530.009,1560.845,1594.823,1632.85,1674.218,1716.214,1755.072,1788.31,1814.755,1835.856,1855.046,1877.209,1905.892,1942.211,1985.199,2033.756,2085.983,2140.407,2196.699,2255.181,2315.718,2378.27,2442.685,2508.646,2575.569,2642.735,2709.238,2774.306,2838.645,2902.148,2962.379,3016.182,3061.896,3098.079,3127.093,3155.804,3193.517,3246.943,3318.648,3406.889,3508.789,3619.552,3735.55,3856.333,3982.782,4114.011,4249.199,4387.755,4528.952,4672.691,4819.833,4971.727,5129.299,5292.745,5461.514,5634.849,5811.589,5990.917
Estimates,174,80.202,82.035,83.733,85.341,86.898,88.424,89.95,91.478,93.01,94.527,96.046,97.557,99.075,100.648,102.33,104.154,106.157,108.35,110.666,113.022,115.375,117.656,119.937,122.412,125.353,128.925,133.249,138.196,143.532,148.909,154.061,158.911,163.516,168.027,172.639,177.507,182.651,188.005,193.577,199.324,205.212,211.251,217.446,223.749,230.147,236.593,243.096,249.648,256.243,262.867,269.505,276.169,282.854,289.619,296.524,303.613,310.902,318.386,326.07,333.967,342.069,350.39,358.914,367.616,376.437,385.346,394.323,403.368,412.488,421.681,430.942
Estimates,262,31.222,31.885,32.6,33.365,34.174,35.031,35.98,37.083,38.412,40.047,42.061,44.508,47.364,50.585,54.079,57.785,61.74,65.999,70.531,75.257,80.172,85.094,90.12,95.853,103.134,112.481,124.363,138.382,153.162,166.753,177.872,185.682,190.799,195.099,201.273,211.107,225.491,243.483,262.79,280.191,293.434,301.62,305.676,307.35,309.238,313.216,319.771,328.227,337.909,347.724,356.818,365.248,373.214,380.252,385.823,389.622,391.324,391.252,390.538,390.778,393.102,397.94,404.927,413.398,422.312,430.881,438.94,446.703,454.211,461.61,469.009
Estimates,232,415.005,421.282,428.357,436.124,444.492,453.408,462.884,472.917,483.548,494.843,506.863,519.621,533.096,547.171,561.702,576.601,591.823,607.411,623.458,640.101,657.44,675.517,694.303,713.782,733.889,754.588,775.802,797.553,820.038,843.522,868.169,893.663,919.739,946.53,974.265,1002.857,1032.923,1063.768,1092.455,1115.088,1129.111,1133.719,1130.48,1122.336,1113.456,1107.243,1103.863,1103.39,1108.909,1124.147,1151.345,1192.142,1244.879,1304.366,1363.325,1416.324,1461.749,1500.626,1533.46,1561.642,1586.365,1607.405,1624.599,1639.35,1653.491,1668.488,1684.859,1702.691,1722.421,1744.406,1768.879
Estimates,231,9129.938,9299.23,9475.428,9657.561,9845.245,10038.71,10238.794,10446.974,10665.188,10895.695,11140.494,11400.746,11676.269,11965.287,12265.105,12573.894,12888.049,13208.04,13540.532,13894.951,14276.229,14692.929,15138.777,15586.536,15999.016,16352.389,16634.119,16860.119,17070.008,17319.548,17649.175,18073.896,18583.036,19160.087,19777.57,20415.649,21068.599,21744.078,22450.891,23202.619,24007.485,24869.13,25779.464,26720.813,27669.105,28607.127,29528.171,30437.37,31344.038,32263.002,33205.382,34174.168,35166.728,36182.058,37217.654,38272.232,39345.273,40439.539,41560.859,42716.829,43912.483,45150.001,46426.769,47737.068,49072.577,50426.864,51797.604,53185.201,54589.146,56009.719,57446.748
