"unpd_code","unpd_description","code","description"
"1158",NA,"1158","FS C and NPL"
"1159",NA,"1159","FCFC(1961-)"
"1160",NA,"1160","FCAM(1961-)"
"1161",NA,"1161","FCCA(1961-)"
"1162",NA,"1162","FCPCS(1961-)"
"1164",NA,"1164","LA&C (LIFDC)"
"1165",NA,"1165","SubSa(LIFDC)"
"1166",NA,"1166","EHDAX"
"1167",NA,"1167","SubSa(EHDAX)"
"1168",NA,"1168","LIFDCs(SOFA)"
"1169",NA,"1169","SAFR"
"1170",NA,"1170","SAPA"
"1171",NA,"1171","SEUR"
"1172",NA,"1172","SLAC"
"1173",NA,"1173","SNEA"
"1174",NA,"1174","NFIDC"
"1175",NA,"1175","FE&P (EHDAX)"
"1176",NA,"1176","Asia Dvng"
"1177",NA,"1177","SUAPLTI(1961-)"
"1178",NA,"1178","SUAPLTS(1961-)"
"1179",NA,"1179","SUAPLD"
"1180",NA,"1180","ACP Africa"
"1181",NA,"1181","ACP Caribbn"
"1182",NA,"1182","ACP Pacific"
"1183",NA,"1183","ACP SugarPro"
"1184",NA,"1184","Africa (FAO)"
"1185",NA,"1185","Developed"
"1186",NA,"1186","CACEU"
"1187",NA,"1187","AMU"
"1188",NA,"1188","SPEC"
"1189",NA,"1189","LUIF"
"1190",NA,"1190","SUAPLS"
"1191",NA,"1191","FBSFBS"
"1192",NA,"1192","ProdPricesCP(1961-)"
"1193",NA,"1193","America Unal"
"1194",NA,"1194","FCAP(1961-)"
"1195",NA,"1195","NE&NA(LIFDC)"
"1196",NA,"1196","IGAG"
"1197",NA,"1197","GCC"
"1198",NA,"1198","World AT2030"
"1199",NA,"1199","AOAD"
"1200",NA,"1200","CEN-SAD"
"1205",NA,"1205","EU (25)"
"1216",NA,"1216","EU (27)"
"1248",NA,"1248","China, Main"
"1249",NA,"1249","China (excl. Hong Kong and Macao)"
"128",NA,"128","Canton Is"
"162",NA,"162","Christmas Is"
"166",NA,"166","Cocos Is"
"200",NA,"200","Czechoslovak(-1992)"
"230",NA,"230","Ethiopia PDR(-1992)"
"239",NA,"239","SouthGeorgia/Sandwich Is"
"248",NA,"248","Åland Islands"
"260",NA,"260","Fr South Ter"
"274",NA,"274","Gaza Strip(-1995)"
"278",NA,"278","Germany Nl"
"280",NA,"280","Germany Fr"
"334",NA,"334","Heard Is"
"381",NA,"381","Italy-San Marino-Holy See"
"396",NA,"396","Johnston Is"
"402",NA,"402","West Bank(-1995)"
"412",NA,"412","Kosovo"
"488",NA,"488","Midway Is"
"530",NA,"530","NethAntilles"
"535.01",NA,"535.01","Bonaire"
"535.02",NA,"535.02","Saba"
"535.03",NA,"535.03","Sint Eustatius"
"536",NA,"536","Neutral Zone"
"574",NA,"574","Norfolk Is"
"58",NA,"58","Bel-Lux(-1999)"
"581",NA,"581","US Minor Is"
"582",NA,"582","Pacific Is"
"612",NA,"612","Pitcairn Is"
"720",NA,"720","Yemen Dem"
"736",NA,"736","Sudan (former)"
"74",NA,"74","Bouvet Is"
"744",NA,"744","Svalbard Is"
"810",NA,"810","USSR(-1991)"
"831",NA,"831","Guernsey"
"832",NA,"832","Jersey"
"835",NA,"835","United Republic of Tanzania (Mainland)"
"836",NA,"836","United Republic of Tanzania (Zanzibar)"
"86",NA,"86","Br Ind Oc Tr"
"872",NA,"872","Wake Is"
"886",NA,"886","Yemen Ar Rp"
"890",NA,"890","Yugoslav SFR(-1991)"
"891",NA,"891","Serbia-Monte(1992-2005)"
"896",NA,"896","Other nei"
"907",NA,"907","Africa Dvng"
"919",NA,"919","Far East"
"929",NA,"929","E Europe"
"930",NA,"930","Europe"
"932",NA,"932","Asia"
"933",NA,"933","Africa"
"936",NA,"936","World"
"937",NA,"937","OECD"
"938",NA,"938","Asia Dvpd"
"939",NA,"939","USSR Europe"
"940",NA,"940","ESCAP"
"942",NA,"942","Asia Dvng"
"943",NA,"943","LatinAmerica"
"944",NA,"944","FarEast&Ocea"
"945",NA,"945","RAP"
"946",NA,"946","RNE"
"949",NA,"949","Afri.Ex.Sout"
"950",NA,"950","Africa"
"951",NA,"951","Asia"
"952",NA,"952","Europe"
"953",NA,"953","World"
"955",NA,"955","Asia (Fmr)"
"956",NA,"956","Europe (Fmr)"
"958",NA,"958","Sub-Sahara"
"959",NA,"959","LAES"
"960",NA,"960","CACM"
"961",NA,"961","CARICOM"
"962",NA,"962","ANCOM"
"963",NA,"963","CAEU"
"964",NA,"964","BANGKOK  Agr"
"965",NA,"965","ASEAN"
"966",NA,"966","Low-Income"
"967",NA,"967","SAARC"
"968",NA,"968","ECA"
"969",NA,"969","ECLAC"
"970",NA,"970","ECE"
"971",NA,"971","FE&P (LIFDC)"
"972",NA,"972","RAF"
"973",NA,"973","RLC"
"974",NA,"974","REU"
"975",NA,"975","OIC"
"976",NA,"976","OAPEC"
"977",NA,"977","ECCAS"
"978",NA,"978","ECGL"
"979",NA,"979","CILSS"
"980",NA,"980","ECOWAS"
"981",NA,"981","COMESA"
"982",NA,"982","Dng Ant EAA"
"983",NA,"983","SADC"
"984",NA,"984","LAIA"
"985",NA,"985","OECS"
"986",NA,"986","ACC"
"987",NA,"987","Yugo F Area(1992-)"
"988",NA,"988","Ethio F Area(1993-)"
"989",NA,"989","CIS(1991-)"
"990",NA,"990","FAO Member"
"991",NA,"991","EFTA"
"992",NA,"992","SPC"
"993",NA,"993","Antarctica"
"994",NA,"994","Low-Income"
"995",NA,"995","Asia"
"996",NA,"996","World"
"997",NA,"997","Dng Afr EAA"
"998",NA,"998","ACP"
"999",NA,"999","Dng Asia EAA"
"AH01",NA,"AH01","Ad hoc aggregation"
