area_code,m49,area_name,start_year,end_year
70,258,French Polynesia,NA,NA
72,262,Djibouti,NA,NA
73,268,Georgia,1992,NA
74,266,Gabon,NA,NA
75,270,Gambia,NA,NA
79,276,Germany,NA,NA
8,28,Antigua and Barbuda,NA,NA
80,70,Bosnia and Herzegovina,1992,NA
81,288,Ghana,NA,NA
83,296,Kiribati,NA,NA
84,300,Greece,NA,NA
86,308,Grenada,NA,NA
88,316,Guam,NA,NA
89,320,Guatemala,NA,NA
9,32,Argentina,NA,NA
90,324,Guinea,NA,NA
91,328,Guyana,NA,NA
93,332,Haiti,NA,NA
95,340,Honduras,NA,NA
96,344,"China, Hong Kong SAR",NA,NA
97,348,Hungary,NA,NA
98,191,Croatia,1992,NA
99,352,Iceland,NA,NA
125,438,Liechtenstein,NA,NA
135,474,Martinique,NA,NA
142,500,Montserrat,NA,NA
177,630,Puerto Rico,NA,NA
182,638,Réunion,NA,NA
218,772,Tokelau,NA,NA
243,876,Wallis and Futuna Islands,NA,NA
69,254,French Guiana,NA,NA
87,312,Guadeloupe,NA,NA
127,584,Marshall Islands,NA,NA
145,583,Micronesia (Federal States of),NA,NA
163,580,Northern Mariana Islands,NA,NA
180,585,Palau,NA,NA
205,732,Western Sahara,NA,NA
