Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,1503,694989.158,703003.811,711533.782,720435.922,729595.89,738928.627,748379.122,757921.409,767554.39,777295.093,787158.229,797134.726,807172.309,817167.62,826989.176,836545.396,845779.077,854716.297,863451.971,872128.639,880845.651,889638.881,898464.744,907248.732,915880.333,924282.6,932435.701,940374.626,948144.319,955812.394,963431.407,971015.251,978558.915,986073.485,993567.079,1001046.924,1008519.117,1015990.231,1023466.654,1030954.231,1038455.405,1045985.806,1053543.151,1061090.078,1068574.939,1075966.475,1083259.296,1090483.999,1097691.058,1104949.859,1112318.323,1119775.788,1127324.287,1135066.238,1143132.393,1151594.879,1160503.434,1169770.534,1179159.892,1188348.089,1197095.061,1205302.617,1213008.508,1220275.363,1227222.978,1233934.74,1240426.413,1246648.509,1252546.357,1258043.422,1263092.909
Estimates,1517,1703596.559,1741085.96,1777129.282,1812536.03,1847972.561,1883962.065,1920879.325,1958956.121,1998297.612,2038909.752,2080780.947,2123969.965,2168682.255,2215302.717,2264302.891,2315967.519,2370446.616,2427505.138,2486549.745,2546750.19,2607460.668,2668543.9,2730037.802,2791686.546,2853238.884,2914555.515,2975473.476,3036109.383,3096965.401,3158747.579,3221987.794,3286643.447,3352592.379,3420161.447,3489732.272,3561445.884,3635556.819,3711631.363,3788266.426,3863575.912,3936199.003,4005573.58,4072033.598,4136227.278,4199219.919,4261803.683,4324146.803,4386018.507,4447358.368,4508010.433,4567891.022,4627061.133,4685694.595,4743954.135,4802039.795,4860123.888,4918213.008,4976355.845,5034805.738,5093871.507,5153738.141,5214491.718,5275972.565,5337803.657,5399458.113,5460515.622,5520843.422,5580422.63,5639084.158,5696667.251,5753051.619
Estimates,1502,938930.928,962815.839,984350.349,1004407.518,1023703.201,1042795.679,1062080,1081793.798,1102036.073,1122797.955,1144055.234,1165867.495,1188464.533,1212283.32,1237863.026,1265536.194,1295466.008,1327401.352,1360729.478,1394587.957,1428300.069,1461718.465,1494865.836,1527449.278,1559172.759,1589857.246,1619357.063,1647778.388,1675530.551,1703200.507,1731254.579,1759631.92,1788295.23,1817741.564,1848584.557,1881154.761,1915773.915,1952035.65,1988638.713,2023800.646,2056240.384,2085468.41,2111839.44,2135960.483,2158819.673,2181157.456,2203131.283,2224549.01,2245404.096,2265614.294,2285144.597,2304075.946,2322554.087,2340682.493,2358576.522,2376344.673,2393987.448,2411566.365,2429314.481,2447520.453,2466363.519,2485922.738,2506065.076,2526484.886,2546751.021,2566519.321,2585693.574,2604262.439,2622069.706,2638958.413,2654816.37
Estimates,1501,764665.631,778270.121,792778.933,808128.512,824269.36,841166.386,858799.325,877162.323,896261.539,916111.797,936725.713,958102.47,980217.722,1003019.397,1026439.865,1050431.325,1074980.608,1100103.786,1125820.267,1152162.233,1179160.599,1206825.435,1235171.966,1264237.268,1294066.125,1324698.269,1356116.413,1388330.995,1421434.85,1455547.072,1490733.215,1527011.527,1564297.149,1602419.883,1641147.715,1680291.123,1719782.904,1759595.713,1799627.713,1839775.266,1879958.619,1920105.17,1960194.158,2000266.795,2040400.246,2080646.227,2121015.52,2161469.497,2201954.272,2242396.139,2282746.425,2322985.187,2363140.508,2403271.642,2443463.273,2483779.215,2524225.56,2564789.48,2605491.257,2646351.054,2687374.622,2728568.98,2769907.489,2811318.771,2852707.092,2893996.301,2935149.848,2976160.191,3017014.452,3057708.838,3098235.249
Estimates,1500,137041.883,139118.857,141351.602,143768.524,146387.121,149213.765,152243.273,155459.364,158836.737,162344.19,165954.462,169654.316,173453.875,177390.32,181516.882,185870.662,190464.103,195281.27,200296.674,205471.908,210778.237,216209.503,221771.934,227463.924,233286.886,239242.373,245339.106,251579.55,257953.629,264447.301,271057.743,277785.314,284656.988,291729.864,299078.663,306762.095,314787.12,323153.719,331902.025,341076.958,350700.957,360816.118,371393.167,382295.625,393335.959,404386.57,415391.376,426409.416,437569.641,449060.731,461021.001,473477.98,486392.234,499752.274,513527.192,527685.616,542261.621,557248.208,572522.759,587921.344,603339.574,618725.573,634150.148,649783.467,665865.812,682575.719,699950.573,717952.444,736589.319,755849.769,775710.641
Estimates,1518,803.549,825.633,846.896,868.484,891.169,915.479,941.562,969.196,997.966,1027.15,1056.11,1084.5,1112.356,1140.352,1169.389,1200.02,1232.834,1267.257,1300.737,1329.89,1352.49,1367.333,1375.765,1381.036,1388.069,1400.118,1418.581,1442.501,1470.152,1498.826,1526.57,1552.75,1578.26,1604.508,1633.607,1666.837,1704.856,1746.834,1790.903,1834.457,1875.696,1913.94,1949.893,1984.565,2019.61,2056.251,2094.476,2133.866,2174.875,2218.032,2263.477,2311.705,2362.072,2412.467,2460.009,2502.644,2539.77,2572.023,2600.297,2626.153,2650.827,2674.393,2696.838,2719.489,2743.862,2771.058,2801.641,2835.342,2871.206,2907.658,2943.57
Estimates,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,903,227794.136,232327.811,237096.507,242092.424,247310.594,252748.903,258408.188,264292.198,270407.018,276760.707,283361.209,290214.489,297322.68,304683.413,312291.934,320147.257,328256.522,336630.998,345280.027,354214.422,363447.518,372983.108,382837.384,393044.091,403645.795,414674.688,426144.378,438054.733,450403.808,463183.536,476386.273,490003.891,504034.199,518479.753,533345.172,548626.148,564327.26,580424.361,596849,613512.11,630349.639,647343.997,664512.055,681869.283,699445.343,717270.078,735361.115,753737.61,772437.113,791504.166,810984.226,830902.585,851298.405,872248.381,893842.821,916154.288,939210.02,963021.802,987623.496,1013045.754,1039304.033,1066409.7,1094343.067,1123045.081,1152433.627,1182438.784,1213040.521,1244222.267,1275920.972,1308064.195,1340598.147
Estimates,935,1404909.021,1435819.067,1464833.76,1492894.872,1520767.938,1549041.895,1578122.054,1608237.03,1639460.818,1671747.88,1705041.051,1739385.801,1775030.782,1812470.344,1852323.187,1894974.284,1940602.027,1988923.11,2039270.148,2090702.364,2142480.33,2194450.646,2246636.23,2298696.332,2350279.042,2401171.44,2451184.274,2500443.579,2549465.807,2598988.407,2649578.3,2701224.928,2753837.776,2807785.265,2863496.815,2921173.176,2981063.991,3042805.918,3105220.228,3166706.019,3226098.962,3282945.348,3337511.555,3390245.391,3441912.7,3493086.983,3543851.283,3594032.74,3643662.91,3692736.099,3741263.381,3789285.355,3836880.325,3884134.531,3931146.499,3977986.502,4024679.899,4071214.924,4117572.142,4163712.835,4209593.693,4255189.678,4300462.192,4345331.306,4389699.473,4433475.358,4476607.853,4519040.027,4560667.108,4601371.198,4641054.775
Estimates,908,549328.883,554324.469,559694.297,565281.958,570969.725,576678.796,582371.276,588048.255,593743.348,599513.267,605406.98,611434.052,617536.146,623575.182,629367.08,634783.204,639761.98,644345.491,648636.137,652789.708,656919.379,661056.049,665163.465,669207.952,673132.262,676895.467,680497.687,683959.572,687285.859,690484.991,693566.517,696513.5,699330.049,702070.526,704807.501,707584.266,710422.137,713279.353,716056.652,718617.314,720858.45,722775.904,724390.017,725656.758,726529.42,726994.464,727020.268,726669.467,726141.823,725705.401,725558.036,725771.893,726312.045,727134.273,728149.83,729287.846,730546.822,731938.519,733416.501,734923.39,736412.989,737850.675,739225.19,740541.861,741818.291,743059.035,744268.827,745414.735,746419.44,747182.751,747636.026
