Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Mediumvariant,1503,1263092.909,1267675.27,1271832.658,1275656.073,1279271.076,1282771.754,1286190.671,1289514.176,1292734.063,1295825.657,1298769.759,1301574.066,1304247.936,1306773.614,1309126.787,1311290.175,1313258.606,1315037.743,1316635.277,1318063.642,1319332.948,1320446.863,1321406.365,1322216.92,1322884.496,1323414.871,1323813.702,1324086.361,1324237.845,1324273.21,1324197.89,1324018.022,1323740.517,1323371.962,1322919.33,1322389.909,1321790.119,1321127.47,1320411.819,1319653.859,1318863.562,1318047.278,1317211.035,1316362.597,1315510.033,1314659.91,1313818.251,1312988.29,1312171.042,1311365.974,1310573.199,1309794.802,1309034.008,1308292.974,1307573.701,1306878.265,1306208.356,1305565.039,1304949.2,1304360.595,1303799.987,1303267.944,1302765.855,1302295.383,1301858.533,1301456.804,1301090.895,1300760.879,1300467.498,1300211.199,1299992.317,1299810.53,1299665.157,1299555.244,1299479.587,1299436.756,1299425.083,1299442.972,1299488.499,1299559.806,1299654.699
Mediumvariant,1517,5753051.619,5808122.336,5861849.926,5914318.377,5965675.595,6016031.712,6065390.149,6113709.928,6161006.513,6207293.484,6252578.224,6296872.156,6340169.633,6382438.733,6423634.414,6463722.802,6502691.484,6540545.949,6577292.392,6612943.987,6647509.562,6680989.433,6713376.503,6744663.869,6774842.468,6803906.278,6831855.192,6858693.019,6884422.241,6909047.045,6932572.166,6955006.595,6976357.18,6996625.53,7015811.698,7033921.747,7050964.225,7066959.403,7081939.27,7095942.979,7109004.809,7121148.036,7132388.307,7142743.511,7152229.906,7160865.029,7168669.709,7175667.086,7181879.708,7187331.42,7192045.111,7196042.024,7199343.032,7201970.626,7203947.77,7205296.567,7206039.331,7206196.295,7205784.738,7204820.242,7203320.298,7201299.21,7198778.759,7195791.917,7192376.594,7188563.108,7184367.37,7179795.048,7174852.717,7169542.205,7163863.941,7157817.85,7151403.083,7144616.719,7137453.526,7129904.698,7121957.591,7113595.648,7104798.067,7095540.404,7085794.039
Mediumvariant,1502,2654816.37,2669550.798,2683160.037,2695747.435,2707480.035,2718487.371,2728794.905,2738382.59,2747283.088,2755526.248,2763137.991,2770145.67,2776567.999,2782409.733,2787668.32,2792344.788,2796448.355,2799995.133,2803000.862,2805483.166,2807455.886,2808929.413,2809906.973,2810386.217,2810360.64,2809826.638,2808790.407,2807259.598,2805233.341,2802709.501,2799689.689,2796182.606,2792201.225,2787758.276,2782868.402,2777548.635,2771813.181,2765681.382,2759181.851,2752347.549,2745208.648,2737785.367,2730096.548,2722169.031,2714031.342,2705708.251,2697219.851,2688581.039,2679803.772,2670897.375,2661871.275,2652739.711,2643515.792,2634206.087,2624815.082,2615349.076,2605817.535,2596233.072,2586608.941,2576959.463,2567298.125,2557632.766,2547972.555,2538333.325,2528732.609,2519184.062,2509691.862,2500256.776,2490883.485,2481575.289,2472331.643,2463147.152,2454012.221,2444913.124,2435833.432,2426754.773,2417656.895,2408518.028,2399314.695,2390021.97,2380613.255
Mediumvariant,1501,3098235.249,3138571.538,3178689.889,3218570.942,3258195.56,3297544.341,3336595.244,3375327.338,3413723.425,3451767.236,3489440.233,3526726.486,3563601.634,3600029,3635966.094,3671378.014,3706243.129,3740550.816,3774291.53,3807460.821,3840053.676,3872060.02,3903469.53,3934277.652,3964481.828,3994079.64,4023064.785,4051433.421,4079188.9,4106337.544,4132882.477,4158823.989,4184155.955,4208867.254,4232943.296,4256373.112,4279151.044,4301278.021,4322757.419,4343595.43,4363796.161,4383362.669,4402291.759,4420574.48,4438198.564,4455156.778,4471449.858,4487086.047,4502075.936,4516434.045,4530173.836,4543302.313,4555827.24,4567764.539,4579132.688,4589947.491,4600221.796,4609963.223,4619175.797,4627860.779,4636022.173,4643666.444,4650806.204,4657458.592,4663643.985,4669379.046,4674675.508,4679538.272,4683969.232,4687966.916,4691532.298,4694670.698,4697390.862,4699703.595,4701620.094,4703149.925,4704300.696,4705077.62,4705483.372,4705518.434,4705180.784
Mediumvariant,1500,775710.641,796189.641,817256.9,838778.783,860577.483,882518.54,904546.085,926670.034,948904.269,971288.934,993852.847,1016582.9,1039456.411,1062484.025,1085681.707,1109059.294,1132615.319,1156339.429,1180221.11,1204246.235,1228401.13,1252677.344,1277065.696,1301550.98,1326115.693,1350743.758,1375422.435,1400140.621,1424885.591,1449644.721,1474405.658,1499156.247,1523884.304,1548578.172,1573225.952,1597816.385,1622337.456,1646777.895,1671127.525,1695376.513,1719514.633,1743531.284,1767414.95,1791153.425,1814734.1,1838144.998,1861375.431,1884415.38,1907253.862,1929880.002,1952283.46,1974454.276,1996383.518,2018063.225,2039486.139,2060644.732,2081531.575,2102138.179,2122455.357,2142473.521,2162183.966,2181579.813,2200655.415,2219405.519,2237825.743,2255911.711,2273659.128,2291063.381,2308120.243,2324825.449,2341175.531,2357167.798,2372800.358,2388071.805,2402981.443,2417528.713,2431713.354,2445535.356,2458995.017,2472092.727,2484829.225
Mediumvariant,1518,2943.57,2978.578,3013.083,3047.196,3081.234,3115.454,3149.832,3184.178,3218.45,3252.618,3286.57,3320.367,3353.87,3387.059,3419.753,3451.942,3483.531,3514.532,3544.897,3574.604,3603.6,3631.895,3659.486,3686.417,3712.71,3738.367,3763.499,3787.985,3811.96,3835.381,3858.276,3880.687,3902.639,3924.101,3945.238,3966.033,3986.516,4006.687,4026.604,4046.298,4065.757,4084.99,4104.08,4122.972,4141.707,4160.268,4178.69,4196.958,4215.07,4233.013,4250.737,4268.28,4285.624,4302.767,4319.667,4336.325,4352.696,4368.82,4384.608,4400.085,4415.223,4430,4444.396,4458.389,4471.972,4485.116,4497.821,4510.065,4521.861,4533.195,4544.013,4554.306,4564.11,4573.407,4582.17,4590.43,4598.221,4605.462,4612.265,4618.541,4624.355
Mediumvariant,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediumvariant,903,1340598.147,1373486.524,1406728.744,1440353.458,1474410.446,1508935.218,1543926.362,1579364.731,1615247.405,1651568.625,1688321.099,1725497.933,1763089.32,1801080.832,1839454.865,1878193.685,1917281.457,1956701.778,1996434.428,2036457.743,2076749.529,2117291.262,2158061.493,2199032.026,2240171.703,2281452.464,2322851.738,2364351.155,2405932.615,2447579.612,2489275.458,2531002.109,2572740.34,2614471.759,2656177.558,2697840.397,2739441.93,2780966.856,2822404.182,2863744.749,2904977.379,2946087.852,2987058.188,3027869.102,3068499.826,3108930.75,3149144.805,3189126.824,3228861.244,3268333.3,3307527.598,3346427.676,3385016.669,3423278.516,3461197.283,3498756.622,3535942.175,3572737.4,3609121.633,3645072.664,3680570.7,3715600.5,3750150.66,3784210.622,3817771.91,3850825.836,3883362.366,3915370.844,3946842.075,3977767.04,4008137.677,4037946.843,4067188.196,4095856.076,4123945.809,4151452.763,4178373.213,4204703.621,4230441.006,4255582.852,4280127.083
Mediumvariant,935,4641054.775,4679660.608,4717155.618,4753500.615,4788666.023,4822629.455,4855356.535,4886832.968,4917085.932,4946161.286,4974091.861,5000885.472,5026527.159,5051001.346,5074284.665,5096362.035,5117232.04,5136907.037,5155403.5,5172744.313,5188948.607,5204026.724,5217983.421,5230825.993,5242560.712,5253195.095,5262739.752,5271207.088,5278608.599,5284956.406,5290263.118,5294545.414,5297817.651,5300088.127,5301363.187,5301654.555,5300977.362,5299356.978,5296827.272,5293428.002,5289195.366,5284156.153,5278331.875,5271747.182,5264425.863,5256392.144,5247672.454,5238293.585,5228280.835,5217659.397,5206454.925,5194692.652,5182399.497,5169604.559,5156337.896,5142628.526,5128503.474,5113987.516,5099104.443,5083876.708,5068327.619,5052476.697,5036348.983,5019979.334,5003406.715,4986662.736,4969766.555,4952727.746,4935556.031,4918256.537,4900833.03,4883288.525,4865625.336,4847843.747,4829941.609,4811913.439,4793749.721,4775437.217,4756958.794,4738293.263,4719415.566
Mediumvariant,908,747636.026,747747.4,747543.837,747089.792,746481.343,745791.325,745041.149,744219.298,743326.711,742355.756,741302.53,740174.698,738985.064,737739.46,736443.311,735101.276,733717.034,732293.408,730833.134,729338.415,727810.571,726251.517,724661.243,723036.784,721373.845,719668.897,717921.737,716132.525,714298.683,712417.278,710486.313,708506.627,706479.827,704406.049,702285.762,700120.689,697913.487,695668.925,693394.361,691098.657,688790.463,686474.841,684157.67,681848.398,679557.768,677295.014,675066.304,672876.219,670730.289,668633.659,666590.677,664605.148,662679.923,660817.112,659017.943,657283.439,655614.531,654011.592,652473.978,651000.178,649588.723,648237.989,646946.248,645711.057,644529.66,643398.82,642315.964,641277.402,640277.585,639309.885,638368.531,637448.951,636547.39,635660.891,634786.52,633920.867,633059.947,632199.304,631333.529,630456.827,629562.532
