Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1500,11933.012,12325.422,12768.755,13268.722,13831.695,14459.584,15152.227,15902.505,16698.857,17537.206,18408.765,19287.841,20192.444,21153.477,22181.06,23290.732,24488.943,25776.891,27275.32,28953.03,30682.967,32170.829,33730.086,35351.719,37048.656,38810.908,40566.099,42390.212,44274.157,46089.304,47952.904,49951.475,52019.468,54223.87,56560.311,59094.679,61729.164,64468.383,67360.77,70305.828,73456.664,76698.589,80080.51,83531.378,86994.806,90471.688,93980.004,97608.051,101290.096,105123.542,109161.422,113507.289,118004.269,122701.176,127546.001,132644.674,137944.887,143060.254,149055.885,155322.451,161884.396,168744.45,175761.496,183051.243,190641.769,198535.599,206742.138,215270.399,224131.434,233331.59,242877.358,252774.777,263030.603,273652.901,284650.231,296030.328,307798.914,319960.632,332520.421,345482.261,358847.63,372625.003,386813.513,401413.264,416421.689,431837.128,447659.417,463885.234,480510.87,497526.92,514930.361,532710.284,550876.902,569414.909,588330.78,607620.883,627278.975,647300.987,667683.504,688423.513,709516.898
947,19942.285,20918.369,21958.262,23065.547,24243.001,25492.984,26820.794,28228.184,29716.191,31305.701,32989.668,34448.513,35984.178,37627.414,39377.943,41228.021,43141.33,45156.227,47280.648,49527.051,51846.543,54373.996,57058.155,59887.469,62893.367,66085.509,69482.292,73012.745,76721.753,80383.983,84118.271,88209.193,92492.531,96981.126,101707.528,106784.175,112127.023,117655.408,123388.642,129301.849,135536.893,141550.355,147702.095,154032.606,160478.411,167013.256,173701.323,180625.022,187705.235,195028.968,202640.502,210982.408,219727.514,228838.923,238354.685,248352.011,258726.552,269186.171,280784.737,292877.99,305507.566,318670.596,332216.42,346248.216,360789.013,375826.517,391361.685,407401.3,423958.015,441043.857,458669.575,476840.297,495560.575,514840.438,534691.203,555122.763,576140.47,597748.184,619952.04,642757.28,666165.225,690182.073,714802.159,740022.981,765834.419,792225.483,819183.338,846763.844,874955.669,903747.062,933129.841,963097.641,993656.248,1024788.839,1056497.952,1088774.482,1121607.164,1154987.425,1188907.437,1223359.921,1258336.122
903,32658.962,34209.713,35856.699,37604.048,39457.151,41419.217,43493.948,45680.851,47986.483,50431.047,53008.425,55401.409,57906.184,60560.089,63366.211,66348.577,69412.005,72503.719,75744.877,79139.822,82637.37,86371.404,90316.401,94433.791,98696.201,103198.989,107958.271,112873.078,118054.096,123261.211,128615.954,134402.203,140455.318,146828.085,153583.203,160721.947,168181.666,175823.926,183664.056,191713.66,200111.296,208314.341,216681.848,225179.006,233540.09,241824.184,250183.369,258797.241,267585.841,276633.762,285997.612,296129.294,306701.76,317674.047,329075.105,341033.592,353403.533,365856.972,379488.153,393708.979,408587.045,424130.04,440145.195,456734.381,473878.136,491531.092,509683.886,528371.323,547602.182,567387.619,587737.793,608654.401,630139.701,652206.412,674871.188,698148.943,722046.585,746569.796,771730.984,797543.035,824013.801,851152.702,878956.173,907425.527,936553.516,966329.885,996741.915,1027845.35,1059626.492,1092069.379,1125161.515,1158893.094,1193268.358,1228241.613,1263807.666,1299953.249,1336663.829,1373927.679,1411732.868,1450067.812,1488920.045
910,3836.643,4035.833,4248.289,4476.695,4719.781,4978.234,5253.334,5544.331,5847.337,6170.011,6514.299,6883.312,7279.315,7717.079,8195.001,8702.83,9245.068,9823.212,10436.253,11092.14,11752.648,12460.655,13219.201,14024.06,14900.304,15854.488,16888.916,18010.517,19201.917,20363.792,21478.562,22605.568,23767.824,24998.743,26317.061,27720.992,29207.067,30773.002,32419.379,34090.638,35850.678,37492.421,39222.977,40982.495,42752.826,44589.205,46533.525,48564.184,50628.288,52750.99,54950.508,57288.639,59739.587,62252.62,64874.159,67684.204,70638.244,73364.499,76912.459,80619.009,84503.529,88571.068,92682.877,96959.877,101429.642,106095.604,110963.377,116034.318,121315.521,126809.813,132520.364,138450.877,144606.311,150992.469,157615.812,164482.084,171595.414,178958.77,186575.463,194448.182,202579.194,210970.322,219622.57,228535.143,237705.229,247131.197,256808.314,266737.352,276914.913,287334.599,298002.537,308912.691,320072.229,331473.026,343125.93,355029.937,367181.366,379578.018,392217.721,405098.197,418216.589
108,39.974,41.594,43.158,44.716,46.32,48.001,49.783,51.669,53.657,55.728,57.866,60.058,62.322,64.697,67.244,70.605,75.514,80.875,86.588,92.449,98.327,104.119,109.885,115.8,122.213,129.408,137.559,146.66,156.732,167.681,178.649,190.191,202.526,215.757,230.057,245.514,262.274,280.298,299.415,319.259,339.609,357.739,375.726,393.789,411.857,429.9,447.777,465.638,484.391,504.546,527.819,554.716,585.3,619.362,656.406,695.94,738.134,783.189,830.899,880.843,932.971,987.065,1043.294,1102.259,1164.881,1231.911,1303.761,1380.418,1461.704,1547.197,1636.586,1729.9,1827.394,1929.218,2035.578,2146.694,2262.7,2383.752,2510.132,2642.186,2780.242,2924.524,3075.236,3232.668,3397.098,3568.656,3748.205,3935.79,4131.648,4335.976,4548.959,4770.827,5001.763,5241.848,5491.101,5749.545,6017.295,6294.464,6581.084,6877.155,7182.692
174,10.526,11.504,12.542,13.645,14.827,16.095,17.459,18.923,20.496,22.183,23.988,25.914,27.981,30.203,32.609,35.217,38.066,39.595,41.215,42.89,44.607,46.341,48.122,50.025,52.17,54.647,57.512,60.738,64.233,67.846,71.463,75.111,78.779,82.503,86.387,90.5,94.87,99.484,104.336,109.413,114.709,120.235,124.103,127.55,131.036,134.543,138.071,141.614,145.175,148.734,152.293,155.847,159.406,162.993,166.647,170.493,174.541,178.798,183.275,187.982,192.925,198.121,203.575,209.271,215.196,221.334,227.69,234.273,241.092,248.16,255.487,263.083,270.954,279.115,287.574,296.345,305.44,314.871,324.651,334.797,345.321,356.059,367.014,378.179,389.559,401.157,412.967,424.993,437.232,449.678,462.325,475.18,488.229,501.474,514.902,528.51,542.292,556.242,570.355,584.625,599.041
262,24.682,25.851,27.111,28.437,29.835,31.323,32.939,34.735,36.797,39.215,42.09,45.531,49.569,54.125,59.119,64.504,70.353,76.741,83.632,90.927,98.633,106.498,114.646,123.946,135.623,150.521,169.441,191.953,216.125,239.095,258.795,273.81,284.877,293.398,303.357,318.89,341.378,369.421,399.648,427.144,448.449,461.892,468.428,471.337,474.577,480.987,491.429,504.921,520.254,535.473,549.178,561.093,571.782,581.627,591.287,601.236,611.545,622.049,632.825,643.899,655.376,667.325,679.729,692.437,705.235,717.972,730.569,743.079,755.533,768.001,780.538,793.138,805.774,818.418,831.056,843.657,856.22,868.738,881.187,893.554,905.821,917.977,930.017,941.912,953.672,965.276,976.623,987.711,998.534,1009.093,1019.38,1029.403,1039.155,1048.634,1057.841,1066.788,1075.467,1083.873,1092.01,1099.862,1107.45
232,81.093,85.077,89.391,94.025,98.999,104.318,110.006,116.071,122.559,129.502,136.944,144.898,153.405,162.465,172.077,182.223,192.937,204.253,212.374,220.846,229.718,239.005,248.723,258.867,269.455,280.493,291.973,303.902,316.37,329.475,343.289,357.697,372.634,388.2,406.009,433.816,463.885,496.028,528.888,560.264,588.576,612.628,632.879,651.252,671.239,695.721,725.894,761.505,802.914,849.849,902.054,960.122,1024.408,1093.201,1163.933,1234.323,1303.385,1371.32,1439.096,1490.721,1544.485,1600.645,1658.937,1719.887,1784.051,1851.851,1923.728,1999.721,2079.314,2161.646,2246.038,2332.299,2420.579,2510.963,2603.638,2698.752,2796.265,2896.081,2998.273,3102.932,3210.132,3319.852,3432.002,3546.504,3663.207,3781.931,3902.437,4025.432,4150.616,4277.83,4406.917,4537.785,4670.347,4804.457,4939.964,5076.734,5214.653,5353.63,5493.603,5634.53,5776.366
231,833.89,878.703,926.281,976.549,1029.743,1085.996,1145.614,1208.782,1276.092,1347.999,1425.096,1507.653,1596.183,1690.734,1791.348,1897.839,2010.226,2128.778,2225.717,2329.089,2440.181,2560.709,2690.11,2823.815,2955.561,3080.708,3196.543,3305.132,3413.716,3532.881,3671.221,3832.395,4015.763,4219.167,4438.683,4673.05,4919.365,5179.526,5455.924,5751.476,6069.048,6410.236,6774.291,7157.113,7553.733,7924.483,8285.372,8650.331,9022.706,9407.073,9807.289,10224.181,10657.558,11106.588,11570.036,12046.373,12536.077,13054.22,13733.823,14444.161,15189.14,15970.018,16787.864,17625.298,18497.411,19403.087,20343.215,21316.856,22327.769,23376.34,24463.423,25589.582,26755.042,27959.894,29204.015,30487.323,31809.855,33171.794,34573.307,36014.593,37495.72,39016.596,40576.89,42176.062,43813.383,45488.077,47199.288,48946.253,50728.279,52544.649,54394.212,56275.08,58184.332,60116.968,62086.216,64087.447,66119.729,68182.089,70273.297,72392.002,74536.815
404,339.667,358.623,378.893,400.491,423.522,448.051,474.183,501.966,531.572,563.114,596.757,632.583,670.811,716.043,765.228,817.908,874.442,935.108,1000.347,1070.482,1158.465,1256.485,1363.225,1479.101,1605.052,1741.729,1889.957,2050.233,2223.961,2412.225,2535.258,2650.419,2770.888,2896.275,3026.065,3159.732,3297.209,3438.421,3583.147,3731.016,3919.437,4120.858,4329.249,4544.209,4765.917,4994.299,5229.563,5471.813,5722.382,5982.437,6256.185,6541.648,6839.247,7149.767,7474.389,7813.454,8168.189,8538.821,8925.701,9328.13,9746.669,10183.601,10639.429,11114.158,11607.614,12119.756,12650.834,13201.347,13771.805,14362.838,14975.059,15608.844,16264.626,16943.167,17645.362,18371.967,19123.471,19900.146,20702.233,21529.836,22382.984,23261.753,24166.047,25095.413,26049.091,27025.992,28024.256,29046.382,30090.33,31155.64,32241.885,33348.612,34475.483,35622.314,36788.999,37975.346,39180.924,40405.19,41647.623,42907.673,44184.721
