GroupCode,CountryGroup,Country,M49Code
5204,Central America,Mexico,484
5204,Central America,Nicaragua,558
5204,Central America,Panama,591
5301,Central Asia,Kazakhstan,398
5301,Central Asia,Kyrgyzstan,417
5301,Central Asia,Tajikistan,762
5301,Central Asia,Turkmenistan,795
5301,Central Asia,Uzbekistan,860
5101,Eastern Africa,Burundi,108
5101,Eastern Africa,Comoros,174
5101,Eastern Africa,Djibouti,262
5101,Eastern Africa,Eritrea,232
5101,Eastern Africa,Ethiopia,231
5101,Eastern Africa,Ethiopia PDR,230
5101,Eastern Africa,Kenya,404
5101,Eastern Africa,Madagascar,450
5101,Eastern Africa,Malawi,454
5101,Eastern Africa,Mauritius,480
5101,Eastern Africa,Mayotte,175
5101,Eastern Africa,Mozambique,508
5101,Eastern Africa,Réunion,638
5101,Eastern Africa,Rwanda,646
5101,Eastern Africa,Seychelles,690
5101,Eastern Africa,Somalia,706
5101,Eastern Africa,South Sudan,728
5101,Eastern Africa,Uganda,800
5101,Eastern Africa,United Republic of Tanzania,834
5101,Eastern Africa,Zambia,894
5101,Eastern Africa,Zimbabwe,716
5302,Eastern Asia,"China, Hong Kong SAR",344
5302,Eastern Asia,"China, Macao SAR",446
5302,Eastern Asia,"China, mainland",1248
5302,Eastern Asia,"China, Taiwan Province of",158
5302,Eastern Asia,Democratic People's Republic of Korea,408
5302,Eastern Asia,Japan,392
5302,Eastern Asia,Mongolia,496
5302,Eastern Asia,Republic of Korea,410
5401,Eastern Europe,Belarus,112
5401,Eastern Europe,Bulgaria,100
5401,Eastern Europe,Czechia,203
5401,Eastern Europe,Czechoslovakia,200
5401,Eastern Europe,Hungary,348
5401,Eastern Europe,Poland,616
5401,Eastern Europe,Republic of Moldova,498
5401,Eastern Europe,Romania,642
5401,Eastern Europe,Russian Federation,643
5401,Eastern Europe,Slovakia,703
5401,Eastern Europe,Ukraine,804
5401,Eastern Europe,USSR,810
5400,Europe,Albania,8
5400,Europe,Andorra,20
5400,Europe,Austria,40
5400,Europe,Belarus,112
5400,Europe,Belgium,56
5400,Europe,Belgium-Luxembourg,58
5400,Europe,Bosnia and Herzegovina,70
5400,Europe,Bulgaria,100
5400,Europe,Channel Islands,830
5400,Europe,Croatia,191
5400,Europe,Czechia,203
5400,Europe,Czechoslovakia,200
5400,Europe,Denmark,208
5400,Europe,Estonia,233
5400,Europe,Faroe Islands,234
5400,Europe,Finland,246
5400,Europe,France,250
5400,Europe,Germany,276
5400,Europe,Gibraltar,292
5400,Europe,Greece,300
5400,Europe,Holy See,336
5400,Europe,Hungary,348
5400,Europe,Iceland,352
5400,Europe,Ireland,372
5400,Europe,Isle of Man,833
5400,Europe,Italy,380
5400,Europe,Latvia,428
5400,Europe,Liechtenstein,438
5400,Europe,Lithuania,440
5400,Europe,Luxembourg,442
5400,Europe,Malta,470
5400,Europe,Monaco,492
5400,Europe,Montenegro,499
5400,Europe,Netherlands,528
5400,Europe,North Macedonia,807
5400,Europe,Norway,578
5400,Europe,Poland,616
5400,Europe,Portugal,620
5400,Europe,Republic of Moldova,498
5400,Europe,Romania,642
5400,Europe,Russian Federation,643
5400,Europe,San Marino,674
5400,Europe,Serbia,688
5400,Europe,Serbia and Montenegro,891
5400,Europe,Slovakia,703
5400,Europe,Slovenia,705
5400,Europe,Spain,724
5400,Europe,Svalbard and Jan Mayen Islands,744
5400,Europe,Sweden,752
5400,Europe,Switzerland,756
5400,Europe,Ukraine,804
5400,Europe,United Kingdom,826
5400,Europe,USSR,810
5400,Europe,Yugoslav SFR,890
5706,European Union,Austria,40
5706,European Union,Belgium,56
5706,European Union,Belgium-Luxembourg,58
5706,European Union,Bulgaria,100
5706,European Union,Croatia,191
5706,European Union,Cyprus,196
5706,European Union,Czechia,203
5706,European Union,Denmark,208
5706,European Union,Estonia,233
5706,European Union,Finland,246
5706,European Union,France,250
5706,European Union,Germany,276
5706,European Union,Greece,300
5706,European Union,Hungary,348
5706,European Union,Ireland,372
5706,European Union,Italy,380
5706,European Union,Latvia,428
5706,European Union,Lithuania,440
5706,European Union,Luxembourg,442
5706,European Union,Malta,470
5706,European Union,Netherlands,528
5706,European Union,Poland,616
5706,European Union,Portugal,620
5706,European Union,Romania,642
5706,European Union,Slovakia,703
5706,European Union,Slovenia,705
5706,European Union,Spain,724
5706,European Union,Sweden,752
5706,European Union,United Kingdom,826
5802,Land Locked Developing Countries,Afghanistan,4
5802,Land Locked Developing Countries,Armenia,51
5802,Land Locked Developing Countries,Azerbaijan,31
5802,Land Locked Developing Countries,Bhutan,64
5802,Land Locked Developing Countries,Bolivia (Plurinational State of),68
5802,Land Locked Developing Countries,Botswana,72
5802,Land Locked Developing Countries,Burkina Faso,854
5802,Land Locked Developing Countries,Burundi,108
5802,Land Locked Developing Countries,Central African Republic,140
5802,Land Locked Developing Countries,Chad,148
5802,Land Locked Developing Countries,Eswatini,748
5802,Land Locked Developing Countries,Ethiopia,231
5802,Land Locked Developing Countries,Kazakhstan,398
5802,Land Locked Developing Countries,Kyrgyzstan,417
5802,Land Locked Developing Countries,Lao People's Democratic Republic,418
5802,Land Locked Developing Countries,Lesotho,426
5802,Land Locked Developing Countries,Malawi,454
5802,Land Locked Developing Countries,Mali,466
5802,Land Locked Developing Countries,Mongolia,496
5802,Land Locked Developing Countries,Nepal,524
5802,Land Locked Developing Countries,Niger,562
5802,Land Locked Developing Countries,North Macedonia,807
5802,Land Locked Developing Countries,Paraguay,600
5802,Land Locked Developing Countries,Republic of Moldova,498
5802,Land Locked Developing Countries,Rwanda,646
5802,Land Locked Developing Countries,South Sudan,728
5802,Land Locked Developing Countries,Tajikistan,762
5802,Land Locked Developing Countries,Turkmenistan,795
5802,Land Locked Developing Countries,Uganda,800
5802,Land Locked Developing Countries,Uzbekistan,860
5802,Land Locked Developing Countries,Zambia,894
5802,Land Locked Developing Countries,Zimbabwe,716
5801,Least Developed Countries,Afghanistan,4
5801,Least Developed Countries,Angola,24
5801,Least Developed Countries,Bangladesh,50
5801,Least Developed Countries,Benin,204
5801,Least Developed Countries,Bhutan,64
5801,Least Developed Countries,Burkina Faso,854
5801,Least Developed Countries,Burundi,108
5801,Least Developed Countries,Cambodia,116
5801,Least Developed Countries,Central African Republic,140
5801,Least Developed Countries,Chad,148
5801,Least Developed Countries,Comoros,174
5801,Least Developed Countries,Democratic Republic of the Congo,180
5801,Least Developed Countries,Djibouti,262
5801,Least Developed Countries,Eritrea,232
5801,Least Developed Countries,Ethiopia,231
5801,Least Developed Countries,Ethiopia PDR,230
5801,Least Developed Countries,Gambia,270
5801,Least Developed Countries,Guinea,324
5801,Least Developed Countries,Guinea-Bissau,624
5801,Least Developed Countries,Haiti,332
